Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.112903,3.164516,3.183871,3.009677,3.187097,3.167742,13643.1,19152.84,22481.69,8500.668,23147.45,19639.98,zero
17,3.119355,3.141935,3.177419,2.990323,3.13871,3.13871,14159.64,16299.58,21255.28,7918.126,15957.19,15957.19,zero
34,3.135484,3.2,3.180645,3,3.148387,3.141935,15628.23,26240.03,21851.91,8200.002,17028.07,16299.58,zero
51,3.164516,3.158064,3.148387,3.016129,3.141935,3.180645,19152.84,18244.99,17028.07,8712.501,16299.58,21851.91,zero
68,3.109677,3.154839,3.151613,2.980645,3.177419,3.2,13397.96,17821.32,17416.07,7653.334,21255.28,26240.03,zero
86,3.122581,3.177419,3.151613,2.993548,3.151613,3.154839,14431.99,21255.28,17416.07,8010.107,17416.07,17821.32,zero
103,3.119355,3.13871,3.187097,2.990323,3.158064,3.154839,14159.64,15957.19,23147.45,7918.126,18244.99,17821.32,zero
119,3.154839,3.212903,3.154839,2.990323,3.212903,3.141935,17821.32,30248.92,17821.32,7918.126,30248.92,16299.58,zero
137,3.122581,3.170968,3.183871,3.054839,3.206452,3.151613,14431.99,20151.48,22481.69,10217.63,28106.23,17416.07,zero
154,3.170968,3.196774,3.148387,2.983871,3.154839,3.16129,20151.48,25394.4,17028.07,7739.797,17821.32,18688.36,zero
171,3.151613,3.167742,3.164516,3.003226,3.183871,3.158064,17416.07,19639.98,19152.84,8298.045,22481.69,18244.99,zero
188,3.1,3.135484,3.154839,3.003226,3.167742,3.148387,12710,15628.23,17821.32,8298.045,19639.98,17028.07,zero
205,3.135484,3.167742,3.193548,3.003226,3.148387,3.164516,15628.23,19639.98,24600.02,8298.045,17028.07,19152.84,zero
222,3.141935,3.177419,3.206452,3.022581,3.154839,3.190323,16299.58,21255.28,28106.23,8934.187,17821.32,23852.38,zero
239,3.170968,3.170968,3.2,3.012903,3.206452,3.174194,20151.48,20151.48,26240.03,8605.394,28106.23,20689.25,zero
256,3.174194,3.145161,3.16129,3.006452,3.2,3.13871,20689.25,16656.24,18688.36,8398.242,26240.03,15957.19,zero
273,3.119355,3.141935,3.158064,3,3.180645,3.183871,14159.64,16299.58,18244.99,8200.002,21851.91,22481.69,zero
290,3.125806,3.180645,3.183871,3.003226,3.193548,3.151613,14714.44,21851.91,22481.69,8298.045,24600.02,17416.07,zero
307,3.109677,3.129032,3.193548,3.06129,3.219355,3.135484,13397.96,15007.54,24600.02,10515.95,32734.43,15628.23,zero
324,3.122581,3.145161,3.145161,2.990323,3.170968,3.164516,14431.99,16656.24,16656.24,7918.126,20151.48,19152.84,zero
342,3.193548,3.148387,3.2,3,3.141935,3.164516,24600.02,17028.07,26240.03,8200.002,16299.58,19152.84,zero
358,3.119355,3.193548,3.148387,3.051613,3.177419,3.158064,14159.64,24600.02,17028.07,10074.29,21255.28,18244.99,zero
375,3.145161,3.196774,3.16129,3.045161,3.145161,3.158064,16656.24,25394.4,18688.36,9798.481,16656.24,18244.99,zero
392,3.125806,3.180645,3.164516,3.022581,3.190323,3.174194,14714.44,21851.91,19152.84,8934.187,23852.38,20689.25,zero
409,3.096774,3.148387,3.187097,2.996774,3.132258,3.154839,12495.24,17028.07,23147.45,8104.044,15311.92,17821.32,zero
426,3.129032,3.209677,3.167742,3.032258,3.148387,3.183871,15007.54,29139.31,19639.98,9286.748,17028.07,22481.69,zero
443,3.132258,3.151613,3.216129,2.993548,3.16129,3.174194,15311.92,17416.07,31443.88,8010.107,18688.36,20689.25,zero
460,3.174194,3.167742,3.187097,3.054839,3.148387,3.148387,20689.25,19639.98,23147.45,10217.63,17028.07,17028.07,zero
477,3.125806,3.196774,3.187097,3,3.193548,3.170968,14714.44,25394.4,23147.45,8200.002,24600.02,20151.48,zero
494,3.158064,3.125806,3.164516,3.006452,3.212903,3.164516,18244.99,14714.44,19152.84,8398.242,30248.92,19152.84,zero
511,3.187097,3.190323,3.190323,2.967742,3.151613,3.180645,23147.45,23852.38,23852.38,7324.274,17416.07,21851.91,zero
528,3.119355,3.187097,3.190323,3.012903,3.219355,3.16129,14159.64,23147.45,23852.38,8605.394,32734.43,18688.36,zero
545,3.183871,3.135484,3.154839,3.032258,3.154839,3.148387,22481.69,15628.23,17821.32,9286.748,17821.32,17028.07,zero
563,3.145161,3.148387,3.174194,2.987097,3.151613,3.212903,16656.24,17028.07,20689.25,7828.042,17416.07,30248.92,zero
580,3.132258,3.145161,3.2,3,3.2,3.141935,15311.92,16656.24,26240.03,8200.002,26240.03,16299.58,zero
596,3.116129,3.187097,3.135484,3.016129,3.170968,3.148387,13896.84,23147.45,15628.23,8712.501,20151.48,17028.07,zero
614,3.174194,3.177419,3.151613,2.987097,3.148387,3.145161,20689.25,21255.28,17416.07,7828.042,17028.07,16656.24,zero
631,3.125806,3.135484,3.203226,3.012903,3.187097,3.158064,14714.44,15628.23,27142.03,8605.394,23147.45,18244.99,zero
648,3.167742,3.190323,3.151613,3.016129,3.135484,3.148387,19639.98,23852.38,17416.07,8712.501,15628.23,17028.07,zero
664,3.125806,3.135484,3.132258,2.990323,3.164516,3.16129,14714.44,15628.23,15311.92,7918.126,19152.84,18688.36,zero
682,3.129032,3.122581,3.222581,3,3.141935,3.164516,15007.54,14431.99,34132.53,8200.002,16299.58,19152.84,zero
698,3.180645,3.148387,3.148387,3.022581,3.203226,3.158064,21851.91,17028.07,17028.07,8934.187,27142.03,18244.99,zero
715,3.119355,3.183871,3.2,3,3.135484,3.193548,14159.64,22481.69,26240.03,8200.002,15628.23,24600.02,zero
732,3.13871,3.135484,3.177419,3.048387,3.209677,3.212903,15957.19,15628.23,21255.28,9934.615,29139.31,30248.92,zero
749,3.122581,3.129032,3.141935,3.054839,3.154839,3.219355,14431.99,15007.54,16299.58,10217.63,17821.32,32734.43,zero
766,3.177419,3.183871,3.145161,3.045161,3.158064,3.145161,21255.28,22481.69,16656.24,9798.481,18244.99,16656.24,zero
783,3.167742,3.193548,3.203226,3.03871,3.158064,3.135484,19639.98,24600.02,27142.03,9536.297,18244.99,15628.23,zero
800,3.16129,3.106452,3.206452,2.990323,3.174194,3.158064,18688.36,13161,28106.23,7918.126,20689.25,18244.99,zero
816,3.177419,3.135484,3.148387,3.003226,3.158064,3.148387,21255.28,15628.23,17028.07,8298.045,18244.99,17028.07,zero
834,3.141935,3.148387,3.13871,3.019355,3.183871,3.187097,16299.58,17028.07,15957.19,8822.07,22481.69,23147.45,zero
851,3.122581,3.151613,3.216129,3.035484,3.13871,3.177419,14431.99,17416.07,31443.88,9410,15957.19,21255.28,zero
868,3.135484,3.164516,3.216129,3.06129,3.145161,3.132258,15628.23,19152.84,31443.88,10515.95,16656.24,15311.92,zero
885,3.183871,3.141935,3.196774,2.993548,3.2,3.154839,22481.69,16299.58,25394.4,8010.107,26240.03,17821.32,zero
901,3.141935,3.167742,3.167742,3.058064,3.216129,3.145161,16299.58,19639.98,19639.98,10364.8,31443.88,16656.24,zero
918,3.122581,3.196774,3.145161,2.996774,3.16129,3.158064,14431.99,25394.4,16656.24,8104.044,18688.36,18244.99,zero
935,3.135484,3.13871,3.187097,2.996774,3.145161,3.174194,15628.23,15957.19,23147.45,8104.044,16656.24,20689.25,zero
952,3.145161,3.2,3.141935,2.980645,3.164516,3.158064,16656.24,26240.03,16299.58,7653.334,19152.84,18244.99,zero
970,3.180645,3.135484,3.167742,3,3.141935,3.148387,21851.91,15628.23,19639.98,8200.002,16299.58,17028.07,zero
986,3.190323,3.135484,3.190323,2.977419,3.190323,3.141935,23852.38,15628.23,23852.38,7568.602,23852.38,16299.58,zero
1003,3.129032,3.145161,3.164516,3.035484,3.145161,3.193548,15007.54,16656.24,19152.84,9410,16656.24,24600.02,transition
1020,3.135484,3.206452,3.145161,3.029032,3.151613,3.154839,15628.23,28106.23,16656.24,9166.429,17416.07,17821.32,transition
1037,3.132258,3.196774,3.151613,3.006452,3.196774,3.145161,15311.92,25394.4,17416.07,8398.242,25394.4,16656.24,transition
