Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,2.632258,3.235484,3.219355,3.2,3.174194,3.054839,3232.463,41123.04,32734.43,26240.03,20689.25,10217.63,zero
16,2.641935,3.177419,3.23871,3.158064,3.177419,3.054839,3292.058,21255.28,43330.57,18244.99,21255.28,10217.63,zero
33,2.622581,3.222581,3.187097,3.16129,3.212903,3.116129,3174.571,34132.53,23147.45,18688.36,30248.92,13896.84,zero
50,2.641935,3.190323,3.190323,3.151613,3.187097,3.045161,3292.058,23852.38,23852.38,17416.07,23147.45,9798.481,zero
67,2.677419,3.187097,3.180645,3.154839,3.229032,3.070968,3526.426,23147.45,21851.91,17821.32,37310.04,10994.93,zero
84,2.635484,3.180645,3.222581,3.13871,3.203226,3.129032,3252.135,21851.91,34132.53,15957.19,27142.03,15007.54,zero
101,2.629032,3.196774,3.193548,3.183871,3.206452,3.080645,3212.98,25394.4,24600.02,22481.69,28106.23,11516.17,zero
118,2.667742,3.174194,3.190323,3.148387,3.193548,3.109677,3459.898,20689.25,23852.38,17028.07,24600.02,13397.96,zero
135,2.667742,3.203226,3.170968,3.132258,3.187097,3.083871,3459.898,27142.03,20151.48,15311.92,23147.45,11700.3,zero
152,2.619355,3.232258,3.2,3.151613,3.212903,3.051613,3155.639,39125.75,26240.03,17416.07,30248.92,10074.29,zero
168,2.625806,3.196774,3.209677,3.164516,3.206452,3.1,3193.684,25394.4,29139.31,19152.84,28106.23,12710,zero
185,2.66129,3.206452,3.206452,3.2,3.2,3.06129,3416.666,28106.23,28106.23,26240.03,26240.03,10515.95,zero
202,2.667742,3.232258,3.177419,3.177419,3.190323,3.129032,3459.898,39125.75,21255.28,21255.28,23852.38,15007.54,zero
219,2.63871,3.177419,3.196774,3.135484,3.245161,3.116129,3272,21255.28,25394.4,15628.23,48524.75,13896.84,zero
236,2.622581,3.229032,3.196774,3.209677,3.232258,3.074193,3174.571,37310.04,25394.4,29139.31,39125.75,11163.71,zero
253,2.664516,3.170968,3.235484,3.16129,3.183871,3.064516,3438.172,20151.48,41123.04,18688.36,22481.69,10671.23,zero
270,2.648387,3.183871,3.209677,3.154839,3.187097,3.103226,3332.772,22481.69,29139.31,17821.32,23147.45,12931.8,zero
287,2.641935,3.190323,3.225806,3.145161,3.245161,3.064516,3292.058,23852.38,35652.21,16656.24,48524.75,10671.23,zero
