Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.183871,3.16129,3.170968,3.022581,3.187097,3.158064,22481.69,18688.36,20151.48,8934.187,23147.45,18244.99,zero
17,3.158064,3.183871,3.196774,3.041935,3.203226,3.132258,18244.99,22481.69,25394.4,9665.75,27142.03,15311.92,zero
34,3.141935,3.151613,3.183871,3.032258,3.187097,3.13871,16299.58,17416.07,22481.69,9286.748,23147.45,15957.19,zero
51,3.187097,3.170968,3.154839,3.022581,3.16129,3.087097,23147.45,20151.48,17821.32,8934.187,18688.36,11890,zero
69,3.174194,3.148387,3.222581,3.045161,3.232258,3.112903,20689.25,17028.07,34132.53,9798.481,39125.75,13643.1,zero
86,3.180645,3.164516,3.183871,3.025806,3.183871,3.103226,21851.91,19152.84,22481.69,9048.941,22481.69,12931.8,zero
103,3.193548,3.187097,3.193548,3.035484,3.219355,3.093548,24600.02,23147.45,24600.02,9410,32734.43,12287.18,zero
120,3.203226,3.167742,3.170968,3.029032,3.206452,3.096774,27142.03,19639.98,20151.48,9166.429,28106.23,12495.24,zero
137,3.154839,3.145161,3.174194,3.016129,3.164516,3.112903,17821.32,16656.24,20689.25,8712.501,19152.84,13643.1,zero
154,3.232258,3.177419,3.170968,3.032258,3.164516,3.119355,39125.75,21255.28,20151.48,9286.748,19152.84,14159.64,zero
171,3.164516,3.196774,3.196774,3.016129,3.154839,3.116129,19152.84,25394.4,25394.4,8712.501,17821.32,13896.84,zero
188,3.222581,3.16129,3.167742,3.016129,3.187097,3.116129,34132.53,18688.36,19639.98,8712.501,23147.45,13896.84,zero
205,3.145161,3.183871,3.216129,2.993548,3.170968,3.096774,16656.24,22481.69,31443.88,8010.107,20151.48,12495.24,zero
222,3.145161,3.151613,3.196774,3.067742,3.216129,3.122581,16656.24,17416.07,25394.4,10830.83,31443.88,14431.99,zero
238,3.229032,3.167742,3.180645,3.041935,3.206452,3.141935,37310.04,19639.98,21851.91,9665.75,28106.23,16299.58,zero
255,3.170968,3.2,3.164516,3.022581,3.164516,3.119355,20151.48,26240.03,19152.84,8934.187,19152.84,14159.64,zero
273,3.187097,3.158064,3.174194,2.980645,3.212903,3.132258,23147.45,18244.99,20689.25,7653.334,30248.92,15311.92,zero
290,3.206452,3.203226,3.177419,2.964516,3.167742,3.154839,28106.23,27142.03,21255.28,7245.964,19639.98,17821.32,zero
307,3.154839,3.232258,3.203226,2.983871,3.209677,3.116129,17821.32,39125.75,27142.03,7739.797,29139.31,13896.84,zero
324,3.209677,3.196774,3.16129,3.025806,3.206452,3.174194,29139.31,25394.4,18688.36,9048.941,28106.23,20689.25,zero
341,3.170968,3.229032,3.167742,2.954839,3.177419,3.13871,20151.48,37310.04,19639.98,7019.815,21255.28,15957.19,zero
358,3.183871,3.148387,3.170968,2.980645,3.158064,3.174194,22481.69,17028.07,20151.48,7653.334,18244.99,20689.25,zero
375,3.145161,3.164516,3.203226,3.03871,3.235484,3.206452,16656.24,19152.84,27142.03,9536.297,41123.04,28106.23,zero
392,3.158064,3.187097,3.187097,2.964516,3.174194,3.125806,18244.99,23147.45,23147.45,7245.964,20689.25,14714.44,zero
409,3.206452,3.151613,3.222581,2.977419,3.222581,3.154839,28106.23,17416.07,34132.53,7568.602,34132.53,17821.32,zero
426,3.151613,3.13871,3.164516,2.964516,3.219355,3.164516,17416.07,15957.19,19152.84,7245.964,32734.43,19152.84,zero
443,3.151613,3.193548,3.180645,2.983871,3.190323,3.167742,17416.07,24600.02,21851.91,7739.797,23852.38,19639.98,zero
460,3.164516,3.222581,3.219355,3.006452,3.222581,3.148387,19152.84,34132.53,32734.43,8398.242,34132.53,17028.07,zero
476,3.174194,3.151613,3.216129,2.983871,3.164516,3.190323,20689.25,17416.07,31443.88,7739.797,19152.84,23852.38,zero
493,3.164516,3.196774,3.203226,3.016129,3.177419,3.141935,19152.84,25394.4,27142.03,8712.501,21255.28,16299.58,zero
510,3.170968,3.151613,3.151613,2.990323,3.174194,3.135484,20151.48,17416.07,17416.07,7918.126,20689.25,15628.23,zero
527,3.225806,3.145161,3.174194,2.996774,3.190323,3.2,35652.21,16656.24,20689.25,8104.044,23852.38,26240.03,zero
544,3.183871,3.187097,3.16129,2.993548,3.170968,3.164516,22481.69,23147.45,18688.36,8010.107,20151.48,19152.84,zero
561,3.170968,3.164516,3.209677,3.022581,3.203226,3.193548,20151.48,19152.84,29139.31,8934.187,27142.03,24600.02,zero
578,3.190323,3.170968,3.16129,2.996774,3.209677,3.167742,23852.38,20151.48,18688.36,8104.044,29139.31,19639.98,zero
595,3.158064,3.216129,3.203226,3.045161,3.193548,3.177419,18244.99,31443.88,27142.03,9798.481,24600.02,21255.28,zero
612,3.177419,3.177419,3.180645,2.996774,3.222581,3.106452,21255.28,21255.28,21851.91,8104.044,34132.53,13161,zero
629,3.174194,3.174194,3.209677,3.032258,3.222581,3.141935,20689.25,20689.25,29139.31,9286.748,34132.53,16299.58,zero
645,3.209677,3.183871,3.209677,2.970968,3.2,3.106452,29139.31,22481.69,29139.31,7404.12,26240.03,13161,zero
662,3.170968,3.219355,3.167742,2.958065,3.193548,3.125806,20151.48,32734.43,19639.98,7093.775,24600.02,14714.44,zero
679,3.183871,3.141935,3.196774,3.016129,3.16129,3.154839,22481.69,16299.58,25394.4,8712.501,18688.36,17821.32,zero
696,3.164516,3.154839,3.222581,2.967742,3.167742,3.106452,19152.84,17821.32,34132.53,7324.274,19639.98,13161,zero
713,3.151613,3.183871,3.170968,2.977419,3.209677,3.096774,17416.07,22481.69,20151.48,7568.602,29139.31,12495.24,zero
729,3.148387,3.164516,3.187097,2.974194,3.209677,3.154839,17028.07,19152.84,23147.45,7485.546,29139.31,17821.32,zero
746,3.229032,3.183871,3.174194,3.035484,3.158064,3.122581,37310.04,22481.69,20689.25,9410,18244.99,14431.99,zero
763,3.209677,3.216129,3.219355,3,3.193548,3.119355,29139.31,31443.88,32734.43,8200.002,24600.02,14159.64,zero
780,3.216129,3.154839,3.203226,3.029032,3.225806,3.1,31443.88,17821.32,27142.03,9166.429,35652.21,12710,zero
797,3.164516,3.148387,3.164516,3.019355,3.232258,3.090322,19152.84,17028.07,19152.84,8822.07,39125.75,12085.54,zero
814,3.219355,3.183871,3.16129,3.074193,3.206452,3.119355,32734.43,22481.69,18688.36,11163.71,28106.23,14159.64,zero
830,3.141935,3.145161,3.229032,3.006452,3.206452,3.096774,16299.58,16656.24,37310.04,8398.242,28106.23,12495.24,zero
847,3.212903,3.2,3.222581,3.080645,3.16129,3.070968,30248.92,26240.03,34132.53,11516.17,18688.36,10994.93,zero
864,3.16129,3.151613,3.190323,3.019355,3.177419,3.093548,18688.36,17416.07,23852.38,8822.07,21255.28,12287.18,zero
881,3.158064,3.183871,3.229032,3.041935,3.170968,3.064516,18244.99,22481.69,37310.04,9665.75,20151.48,10671.23,zero
898,3.167742,3.229032,3.170968,3.048387,3.187097,3.045161,19639.98,37310.04,20151.48,9934.615,23147.45,9798.481,zero
915,3.148387,3.216129,3.212903,3.016129,3.212903,3.051613,17028.07,31443.88,30248.92,8712.501,30248.92,10074.29,zero
932,3.196774,3.174194,3.170968,3.012903,3.16129,3.090322,25394.4,20689.25,20151.48,8605.394,18688.36,12085.54,zero
949,3.164516,3.174194,3.170968,3.03871,3.174194,3.13871,19152.84,20689.25,20151.48,9536.297,20689.25,15957.19,zero
965,3.145161,3.174194,3.187097,3.03871,3.164516,3.122581,16656.24,20689.25,23147.45,9536.297,19152.84,14431.99,zero
982,3.129032,3.16129,3.190323,3.003226,3.2,3.03871,15007.54,18688.36,23852.38,8298.045,26240.03,9536.297,zero
999,3.145161,3.219355,3.148387,3.009677,3.177419,3.064516,16656.24,32734.43,17028.07,8500.668,21255.28,10671.23,zero
1016,3.180645,3.158064,3.219355,3.006452,3.164516,3.112903,21851.91,18244.99,32734.43,8398.242,19152.84,13643.1,zero
1033,3.141935,3.225806,3.212903,3.019355,3.158064,3.148387,16299.58,35652.21,30248.92,8822.07,18244.99,17028.07,zero
1050,3.225806,3.212903,3.164516,3.016129,3.203226,3.067742,35652.21,30248.92,19152.84,8712.501,27142.03,10830.83,zero
1067,3.145161,3.180645,3.16129,3.048387,3.241935,3.1,16656.24,21851.91,18688.36,9934.615,45783.38,12710,zero
1084,3.148387,3.225806,3.229032,3.03871,3.170968,3.090322,17028.07,35652.21,37310.04,9536.297,20151.48,12085.54,zero
1100,3.154839,3.187097,3.190323,3.022581,3.232258,3.035484,17821.32,23147.45,23852.38,8934.187,39125.75,9410,zero
1117,3.145161,3.16129,3.196774,3.032258,3.235484,3.051613,16656.24,18688.36,25394.4,9286.748,41123.04,10074.29,zero
1134,3.177419,3.164516,3.158064,3.03871,3.212903,3.051613,21255.28,19152.84,18244.99,9536.297,30248.92,10074.29,zero
1151,3.135484,3.193548,3.154839,3.041935,3.232258,3.106452,15628.23,24600.02,17821.32,9665.75,39125.75,13161,transition
1168,3.164516,3.216129,3.219355,3.093548,3.232258,3.029032,19152.84,31443.88,32734.43,12287.18,39125.75,9166.429,transition
1184,3.209677,3.154839,3.196774,3.074193,3.180645,3.03871,29139.31,17821.32,25394.4,11163.71,21851.91,9536.297,transition
1201,3.16129,3.2,3.167742,3.1,3.154839,3.067742,18688.36,26240.03,19639.98,12710,17821.32,10830.83,transition
1218,3.187097,3.170968,3.167742,3.080645,3.206452,3.051613,23147.45,20151.48,19639.98,11516.17,28106.23,10074.29,transition
1235,3.112903,3.190323,3.190323,3.035484,3.170968,3.058064,13643.1,23852.38,23852.38,9410,20151.48,10364.8,transition
1252,3.148387,3.141935,3.170968,3.090322,3.167742,3.1,17028.07,16299.58,20151.48,12085.54,19639.98,12710,transition
1269,3.070968,3.216129,3.183871,3.06129,3.183871,3.058064,10994.93,31443.88,22481.69,10515.95,22481.69,10364.8,transition
1286,3.164516,3.158064,3.187097,3.045161,3.174194,3.080645,19152.84,18244.99,23147.45,9798.481,20689.25,11516.17,transition
1304,3.106452,3.158064,3.229032,3.070968,3.16129,3.045161,13161,18244.99,37310.04,10994.93,18688.36,9798.481,transition
1321,2.422581,3.164516,3.222581,3.13871,3.170968,3.06129,2264.045,19152.84,34132.53,15957.19,20151.48,10515.95,transition
1338,2.422581,3.190323,3.16129,3.190323,3.225806,3.116129,2264.045,23852.38,18688.36,23852.38,35652.21,13896.84,transition
1355,2.432258,3.209677,3.180645,3.174194,3.209677,3.051613,2298.439,29139.31,21851.91,20689.25,29139.31,10074.29,transition
1372,2.422581,3.216129,3.209677,3.129032,3.23871,3.06129,2264.045,31443.88,29139.31,15007.54,43330.57,10515.95,transition
1389,2.441936,3.174194,3.209677,3.2,3.170968,3.083871,2333.609,20689.25,29139.31,26240.03,20151.48,11700.3,transition
1406,2.435484,3.196774,3.190323,3.148387,3.164516,3.090322,2310.075,25394.4,23852.38,17028.07,19152.84,12085.54,transition
