Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.13871,3.193548,3.129032,2.722581,3.141935,2.780645,15957.19,24600.02,15007.54,3866.369,16299.58,4390.311,zero
17,3.2,3.151613,3.148387,2.777419,3.193548,2.822581,26240.03,17416.07,17028.07,4358.148,24600.02,4847.973,zero
34,3.154839,3.177419,3.132258,2.73871,3.154839,2.816129,17821.32,21255.28,15311.92,4001.035,17821.32,4772.4,zero
50,3.122581,3.158064,3.145161,2.73871,3.13871,2.777419,14431.99,18244.99,16656.24,4001.035,15957.19,4358.148,zero
67,3.16129,3.141935,3.145161,2.774194,3.187097,2.803226,18688.36,16299.58,16656.24,4326.381,23147.45,4627.143,zero
84,3.151613,3.148387,3.129032,2.725806,3.158064,2.803226,17416.07,17028.07,15007.54,3892.697,18244.99,4627.143,zero
101,3.183871,3.2,3.158064,2.787097,3.16129,2.803226,22481.69,26240.03,18244.99,4455.849,18688.36,4627.143,zero
118,3.158064,3.135484,3.154839,2.732258,3.148387,2.790323,18244.99,15628.23,17821.32,3946.25,17028.07,4489.241,zero
135,3.109677,3.122581,3.154839,2.751613,3.193548,2.816129,13397.96,14431.99,17821.32,4114.471,24600.02,4772.4,zero
152,3.132258,3.2,3.170968,2.735484,3.135484,2.780645,15311.92,26240.03,20151.48,3973.486,15628.23,4390.311,zero
169,3.158064,3.164516,3.148387,2.745161,3.167742,2.790323,18244.99,19152.84,17028.07,4057.093,19639.98,4489.241,zero
186,3.164516,3.180645,3.158064,2.777419,3.148387,2.8,19152.84,21851.91,18244.99,4358.148,17028.07,4592,zero
203,3.129032,3.190323,3.145161,2.754839,3.135484,2.787097,15007.54,23852.38,16656.24,4143.669,15628.23,4455.849,zero
220,3.174194,3.129032,3.148387,2.783871,3.167742,2.829032,20689.25,15007.54,17028.07,4422.875,19639.98,4925.616,zero
236,3.132258,3.151613,3.151613,2.774194,3.180645,2.835484,15311.92,17416.07,17416.07,4326.381,21851.91,5005.416,zero
253,3.125806,3.129032,3.151613,2.787097,3.13871,2.783871,14714.44,15007.54,17416.07,4455.849,15957.19,4422.875,zero
270,3.174194,3.167742,3.135484,2.790323,3.135484,2.822581,20689.25,19639.98,15628.23,4489.241,15628.23,4847.973,zero
287,3.125806,3.206452,3.2,2.764516,3.206452,2.825806,14714.44,28106.23,26240.03,4233.374,28106.23,4886.53,zero
304,3.167742,3.154839,3.141935,2.729032,3.132258,2.806452,19639.98,17821.32,16299.58,3919.323,15311.92,4662.745,zero
321,3.190323,3.164516,3.148387,2.735484,3.187097,2.829032,23852.38,19152.84,17028.07,3973.486,23147.45,4925.616,zero
338,3.154839,3.193548,3.174194,2.76129,3.135484,2.812903,17821.32,24600.02,20689.25,4203.114,15628.23,4735.364,zero
355,3.170968,3.148387,3.206452,2.725806,3.151613,2.774194,20151.48,17028.07,28106.23,3892.697,17416.07,4326.381,zero
372,3.2,3.203226,3.167742,2.748387,3.203226,2.790323,26240.03,27142.03,19639.98,4085.615,27142.03,4489.241,zero
389,3.151613,3.151613,3.158064,2.716129,3.129032,2.829032,17416.07,17416.07,18244.99,3814.586,15007.54,4925.616,zero
406,3.183871,3.129032,3.122581,2.754839,3.177419,2.790323,22481.69,15007.54,14431.99,4143.669,21255.28,4489.241,zero
423,3.174194,3.13871,3.170968,2.703226,3.145161,2.783871,20689.25,15957.19,20151.48,3714.379,16656.24,4422.875,zero
440,3.151613,3.164516,3.141935,2.693548,3.132258,2.787097,17416.07,19152.84,16299.58,3642.022,15311.92,4455.849,zero
457,3.167742,3.164516,3.183871,2.741935,3.132258,2.793548,19639.98,19152.84,22481.69,4028.902,15311.92,4523.057,zero
474,3.125806,3.13871,3.145161,2.735484,3.145161,2.829032,14714.44,15957.19,16656.24,3973.486,16656.24,4925.616,zero
491,3.177419,3.145161,3.16129,2.696774,3.174194,2.848387,21255.28,16656.24,18688.36,3665.883,20689.25,5171.856,zero
