Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.090322,3.151613,3.132258,2.858064,3.116129,3.090322,12085.54,17416.07,15311.92,5303.065,13896.84,12085.54,zero
17,3.145161,3.087097,3.135484,2.83871,3.096774,3.103226,16656.24,11890,15628.23,5046.153,12495.24,12931.8,zero
34,3.109677,3.087097,3.125806,2.848387,3.148387,3.054839,13397.96,11890,14714.44,5171.856,17028.07,10217.63,zero
50,3.132258,3.103226,3.090322,2.851613,3.087097,3.093548,15311.92,12931.8,12085.54,5214.963,11890,12287.18,zero
68,3.122581,3.103226,3.116129,2.841935,3.109677,3.090322,14431.99,12931.8,13896.84,5087.464,13397.96,12085.54,zero
85,3.135484,3.125806,3.125806,2.86129,3.141935,3.041935,15628.23,14714.44,14714.44,5348.087,16299.58,9665.75,zero
102,3.083871,3.132258,3.122581,2.841935,3.077419,3.03871,11700.3,15311.92,14431.99,5087.464,11337.39,9536.297,zero
119,3.112903,3.080645,3.090322,2.841935,3.151613,3.070968,13643.1,11516.17,12085.54,5087.464,17416.07,10994.93,zero
136,3.112903,3.119355,3.1,2.870968,3.093548,3.051613,13643.1,14159.64,12710,5487.217,12287.18,10074.29,zero
152,3.103226,3.158064,3.080645,2.845161,3.093548,3.051613,12931.8,18244.99,11516.17,5129.361,12287.18,10074.29,zero
169,3.080645,3.112903,3.106452,2.874193,3.125806,3.087097,11516.17,13643.1,13161,5534.999,14714.44,11890,zero
186,3.077419,3.096774,3.119355,2.864516,3.132258,3.093548,11337.39,12495.24,14159.64,5393.777,15311.92,12287.18,zero
204,3.087097,3.125806,3.080645,2.848387,3.093548,3.093548,11890,14714.44,11516.17,5171.856,12287.18,12287.18,zero
220,3.145161,3.106452,3.112903,2.845161,3.13871,3.093548,16656.24,13161,13643.1,5129.361,15957.19,12287.18,zero
237,3.151613,3.093548,3.080645,2.848387,3.103226,3.080645,17416.07,12287.18,11516.17,5171.856,12931.8,11516.17,zero
254,3.070968,3.148387,3.132258,2.893548,3.096774,3.064516,10994.93,17028.07,15311.92,5837.618,12495.24,10671.23,zero
271,3.116129,3.135484,3.106452,2.848387,3.093548,3.074193,13896.84,15628.23,13161,5171.856,12287.18,11163.71,zero
288,3.109677,3.096774,3.083871,2.86129,3.109677,3.109677,13397.96,12495.24,11700.3,5348.087,13397.96,13397.96,zero
305,3.083871,3.093548,3.087097,2.890322,3.122581,3.054839,11700.3,12287.18,11890,5785.195,14431.99,10217.63,zero
322,3.064516,3.090322,3.116129,2.896774,3.122581,3.058064,10671.23,12085.54,13896.84,5890.878,14431.99,10364.8,zero
339,3.145161,3.125806,3.103226,2.870968,3.119355,3.054839,16656.24,14714.44,12931.8,5487.217,14159.64,10217.63,zero
355,3.116129,3.096774,3.096774,2.848387,3.090322,3.070968,13896.84,12495.24,12495.24,5171.856,12085.54,10994.93,zero
372,3.096774,3.106452,3.148387,2.880645,3.083871,3.116129,12495.24,13161,17028.07,5632.768,11700.3,13896.84,zero
390,3.070968,3.083871,3.112903,2.912903,3.132258,3.067742,10994.93,11700.3,13643.1,6170.498,15311.92,10830.83,zero
407,3.087097,3.122581,3.087097,2.867742,3.154839,3.070968,11890,14431.99,11890,5440.148,17821.32,10994.93,zero
424,3.132258,3.096774,3.096774,2.86129,3.132258,3.051613,15311.92,12495.24,12495.24,5348.087,15311.92,10074.29,zero
441,3.122581,3.083871,3.116129,2.864516,3.083871,3.083871,14431.99,11700.3,13896.84,5393.777,11700.3,11700.3,zero
458,3.122581,3.093548,3.087097,2.86129,3.090322,3.083871,14431.99,12287.18,11890,5348.087,12085.54,11700.3,zero
475,3.080645,3.080645,3.135484,2.845161,3.090322,3.058064,11516.17,11516.17,15628.23,5129.361,12085.54,10364.8,zero
492,3.103226,3.093548,3.129032,2.903226,3.13871,3.054839,12931.8,12287.18,15007.54,5999.998,15957.19,10217.63,zero
509,3.132258,3.1,3.122581,2.86129,3.122581,3.067742,15311.92,12710,14431.99,5348.087,14431.99,10830.83,zero
526,3.141935,3.109677,3.1,2.870968,3.083871,3.093548,16299.58,13397.96,12710,5487.217,11700.3,12287.18,zero
543,3.083871,3.1,3.083871,2.909677,3.125806,3.074193,11700.3,12710,11700.3,6112.726,14714.44,11163.71,zero
560,3.090322,3.070968,3.103226,2.877419,3.077419,3.041935,12085.54,10994.93,12931.8,5583.51,11337.39,9665.75,zero
577,3.083871,3.125806,3.13871,2.870968,3.096774,3.103226,11700.3,14714.44,15957.19,5487.217,12495.24,12931.8,zero
594,3.1,3.083871,3.090322,2.864516,3.083871,3.083871,12710,11700.3,12085.54,5393.777,11700.3,11700.3,zero
612,3.154839,3.080645,3.087097,2.880645,3.087097,3.080645,17821.32,11516.17,11890,5632.768,11890,11516.17,zero
629,3.116129,3.083871,3.109677,2.841935,3.093548,3.090322,13896.84,11700.3,13397.96,5087.464,12287.18,12085.54,zero
645,3.135484,3.087097,3.116129,2.851613,3.080645,3.06129,15628.23,11890,13896.84,5214.963,11516.17,10515.95,zero
