Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.119355,3.154839,3.158064,2.706452,3.132258,2.793548,14159.64,17821.32,18244.99,3739.022,15311.92,4523.057,zero
17,3.148387,3.174194,3.13871,2.719355,3.193548,2.806452,17028.07,20689.25,15957.19,3840.334,24600.02,4662.745,zero
34,3.135484,3.148387,3.2,2.687097,3.183871,2.812903,15628.23,17028.07,26240.03,3595.053,22481.69,4735.364,zero
51,3.125806,3.190323,3.13871,2.693548,3.135484,2.758065,14714.44,23852.38,15957.19,3642.022,15628.23,4173.214,zero
67,3.16129,3.145161,3.167742,2.696774,3.132258,2.803226,18688.36,16656.24,19639.98,3665.883,15311.92,4627.143,zero
84,3.141935,3.174194,3.135484,2.696774,3.219355,2.848387,16299.58,20689.25,15628.23,3665.883,32734.43,5171.856,zero
101,3.141935,3.203226,3.193548,2.7,3.196774,2.812903,16299.58,27142.03,24600.02,3690.001,25394.4,4735.364,zero
118,3.170968,3.2,3.13871,2.725806,3.206452,2.787097,20151.48,26240.03,15957.19,3892.697,28106.23,4455.849,zero
135,3.132258,3.183871,3.119355,2.703226,3.193548,2.787097,15311.92,22481.69,14159.64,3714.379,24600.02,4455.849,zero
152,3.129032,3.196774,3.122581,2.706452,3.16129,2.793548,15007.54,25394.4,14431.99,3739.022,18688.36,4523.057,zero
169,3.129032,3.164516,3.13871,2.706452,3.148387,2.83871,15007.54,19152.84,15957.19,3739.022,17028.07,5046.153,zero
186,3.167742,3.141935,3.187097,2.709677,3.141935,2.829032,19639.98,16299.58,23147.45,3763.935,16299.58,4925.616,zero
203,3.174194,3.145161,3.141935,2.709677,3.196774,2.777419,20689.25,16656.24,16299.58,3763.935,25394.4,4358.148,zero
220,3.2,3.125806,3.132258,2.732258,3.141935,2.803226,26240.03,14714.44,15311.92,3946.25,16299.58,4627.143,zero
237,3.170968,3.180645,3.180645,2.696774,3.154839,2.806452,20151.48,21851.91,21851.91,3665.883,17821.32,4662.745,zero
254,3.129032,3.2,3.151613,2.722581,3.183871,2.809677,15007.54,26240.03,17416.07,3866.369,22481.69,4698.815,zero
271,3.13871,3.196774,3.190323,2.696774,3.122581,2.848387,15957.19,25394.4,23852.38,3665.883,14431.99,5171.856,zero
288,3.119355,3.2,3.145161,2.732258,3.164516,2.8,14159.64,26240.03,16656.24,3946.25,19152.84,4592,zero
305,3.151613,3.16129,3.13871,2.687097,3.129032,2.780645,17416.07,18688.36,15957.19,3595.053,15007.54,4390.311,zero
322,3.151613,3.141935,3.148387,2.754839,3.158064,2.835484,17416.07,16299.58,17028.07,4143.669,18244.99,5005.416,zero
339,3.129032,3.151613,3.183871,2.696774,3.16129,2.783871,15007.54,17416.07,22481.69,3665.883,18688.36,4422.875,zero
356,3.177419,3.132258,3.203226,2.696774,3.196774,2.83871,21255.28,15311.92,27142.03,3665.883,25394.4,5046.153,zero
373,3.151613,3.132258,3.129032,2.696774,3.151613,2.835484,17416.07,15311.92,15007.54,3665.883,17416.07,5005.416,zero
390,3.125806,3.132258,3.132258,2.716129,3.141935,2.848387,14714.44,15311.92,15311.92,3814.586,16299.58,5171.856,zero
407,3.122581,3.177419,3.141935,2.716129,3.13871,2.832258,14431.99,21255.28,16299.58,3814.586,15957.19,4965.241,zero
424,3.122581,3.135484,3.164516,2.706452,3.145161,2.803226,14431.99,15628.23,19152.84,3739.022,16656.24,4627.143,zero
441,3.170968,3.148387,3.119355,2.741935,3.196774,2.796774,20151.48,17028.07,14159.64,4028.902,25394.4,4557.308,zero
458,3.135484,3.158064,3.141935,2.696774,3.122581,2.806452,15628.23,18244.99,16299.58,3665.883,14431.99,4662.745,zero
475,3.2,3.164516,3.151613,2.735484,3.2,2.780645,26240.03,19152.84,17416.07,3973.486,26240.03,4390.311,zero
492,3.170968,3.13871,3.132258,2.73871,3.203226,2.790323,20151.48,15957.19,15311.92,4001.035,27142.03,4489.241,zero
509,3.13871,3.16129,3.13871,2.709677,3.135484,2.783871,15957.19,18688.36,15957.19,3763.935,15628.23,4422.875,zero
526,3.187097,3.196774,3.193548,2.764516,3.193548,2.806452,23147.45,25394.4,24600.02,4233.374,24600.02,4662.745,zero
543,3.135484,3.196774,3.148387,2.719355,3.122581,2.832258,15628.23,25394.4,17028.07,3840.334,14431.99,4965.241,zero
560,3.129032,3.183871,3.154839,2.735484,3.125806,2.832258,15007.54,22481.69,17821.32,3973.486,14714.44,4965.241,zero
577,3.158064,3.196774,3.180645,2.741935,3.135484,2.816129,18244.99,25394.4,21851.91,4028.902,15628.23,4772.4,zero
594,3.135484,3.132258,3.154839,2.706452,3.154839,2.835484,15628.23,15311.92,17821.32,3739.022,17821.32,5005.416,zero
611,3.164516,3.148387,3.135484,2.7,3.164516,2.845161,19152.84,17028.07,15628.23,3690.001,19152.84,5129.361,zero
628,3.167742,3.141935,3.145161,2.722581,3.183871,2.8,19639.98,16299.58,16656.24,3866.369,22481.69,4592,zero
645,3.183871,3.132258,3.151613,2.716129,3.158064,2.790323,22481.69,15311.92,17416.07,3814.586,18244.99,4489.241,zero
662,3.180645,3.141935,3.158064,2.732258,3.190323,2.848387,21851.91,16299.58,18244.99,3946.25,23852.38,5171.856,zero
