Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.080645,3.145161,3.119355,2.806452,3.122581,3.132258,11516.17,16656.24,14159.64,4662.745,14431.99,15311.92,zero
18,3.096774,3.087097,3.112903,2.819355,3.103226,3.119355,12495.24,11890,13643.1,4809.933,12931.8,14159.64,zero
38,3.080645,3.087097,3.119355,2.845161,3.1,3.1,11516.17,11890,14159.64,5129.361,12710,12710,zero
58,3.083871,3.112903,3.090322,2.806452,3.125806,3.1,11700.3,13643.1,12085.54,4662.745,14714.44,12710,zero
79,3.067742,3.096774,3.090322,2.822581,3.103226,3.13871,10830.83,12495.24,12085.54,4847.973,12931.8,15957.19,zero
99,3.112903,3.13871,3.119355,2.816129,3.112903,3.096774,13643.1,15957.19,14159.64,4772.4,13643.1,12495.24,zero
120,3.096774,3.129032,3.119355,2.829032,3.116129,3.116129,12495.24,15007.54,14159.64,4925.616,13896.84,13896.84,zero
142,3.141935,3.083871,3.096774,2.83871,3.141935,3.119355,16299.58,11700.3,12495.24,5046.153,16299.58,14159.64,zero
162,3.129032,3.112903,3.132258,2.845161,3.145161,3.080645,15007.54,13643.1,15311.92,5129.361,16656.24,11516.17,zero
183,3.064516,3.135484,3.090322,2.832258,3.129032,3.083871,10671.23,15628.23,12085.54,4965.241,15007.54,11700.3,zero
204,3.080645,3.119355,3.093548,2.848387,3.1,3.093548,11516.17,14159.64,12287.18,5171.856,12710,12287.18,zero
222,3.077419,3.093548,3.1,2.893548,3.119355,3.109677,11337.39,12287.18,12710,5837.618,14159.64,13397.96,zero
242,3.074193,3.145161,3.093548,2.874193,3.141935,3.074193,11163.71,16656.24,12287.18,5534.999,16299.58,11163.71,zero
264,3.090322,3.116129,3.096774,2.829032,3.151613,3.13871,12085.54,13896.84,12495.24,4925.616,17416.07,15957.19,zero
285,3.096774,3.122581,3.083871,2.832258,3.090322,3.13871,12495.24,14431.99,11700.3,4965.241,12085.54,15957.19,zero
307,3.080645,3.109677,3.119355,2.819355,3.135484,3.077419,11516.17,13397.96,14159.64,4809.933,15628.23,11337.39,zero
326,3.116129,3.13871,3.087097,2.854839,3.141935,3.090322,13896.84,15957.19,11890,5258.695,16299.58,12085.54,zero
345,3.096774,3.093548,3.141935,2.83871,3.090322,3.158064,12495.24,12287.18,16299.58,5046.153,12085.54,18244.99,zero
364,3.083871,3.141935,3.106452,2.874193,3.093548,3.080645,11700.3,16299.58,13161,5534.999,12287.18,11516.17,zero
384,3.103226,3.083871,3.158064,2.83871,3.103226,3.087097,12931.8,11700.3,18244.99,5046.153,12931.8,11890,zero
402,3.141935,3.154839,3.116129,2.832258,3.129032,3.087097,16299.58,17821.32,13896.84,4965.241,15007.54,11890,zero
