Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.119355,3.170968,3.151613,2.990323,3.141935,3.158064,14159.64,20151.48,17416.07,7918.126,16299.58,18244.99,zero
19,3.125806,3.13871,3.154839,2.970968,3.174194,3.145161,14714.44,15957.19,17821.32,7404.12,20689.25,16656.24,zero
38,3.132258,3.164516,3.132258,2.977419,3.122581,3.116129,15311.92,19152.84,15311.92,7568.602,14431.99,13896.84,zero
56,3.090322,3.112903,3.129032,3.016129,3.170968,3.132258,12085.54,13643.1,15007.54,8712.501,20151.48,15311.92,zero
74,3.122581,2.309677,3.167742,3.006452,3.193548,3.125806,14431.99,1912.443,19639.98,8398.242,24600.02,14714.44,zero
92,3.148387,3.170968,3.13871,2.954839,3.148387,3.112903,17028.07,20151.48,15957.19,7019.815,17028.07,13643.1,zero
111,3.125806,3.148387,3.116129,2.964516,3.129032,3.132258,14714.44,17028.07,13896.84,7245.964,15007.54,15311.92,zero
128,3.151613,3.13871,3.167742,2.993548,3.187097,3.119355,17416.07,15957.19,19639.98,8010.107,23147.45,14159.64,zero
149,3.158064,3.132258,3.154839,3,3.116129,3.135484,18244.99,15311.92,17821.32,8200.002,13896.84,15628.23,zero
169,3.122581,3.122581,3.151613,2.958065,3.180645,3.170968,14431.99,14431.99,17416.07,7093.775,21851.91,20151.48,zero
188,3.109677,3.112903,3.174194,3.019355,3.174194,3.13871,13397.96,13643.1,20689.25,8822.07,20689.25,15957.19,zero
206,3.151613,3.116129,3.164516,2.958065,3.164516,3.183871,17416.07,13896.84,19152.84,7093.775,19152.84,22481.69,zero
225,3.13871,3.158064,3.129032,2.996774,3.145161,3.112903,15957.19,18244.99,15007.54,8104.044,16656.24,13643.1,zero
243,3.125806,3.158064,3.135484,2.954839,3.148387,3.129032,14714.44,18244.99,15628.23,7019.815,17028.07,15007.54,zero
261,3.122581,3.119355,3.16129,2.96129,3.13871,3.141935,14431.99,14159.64,18688.36,7169.145,15957.19,16299.58,zero
280,3.119355,3.116129,3.158064,2.951613,3.158064,3.122581,14159.64,13896.84,18244.99,6947.224,18244.99,14431.99,zero
300,3.145161,3.122581,3.13871,2.996774,3.125806,3.158064,16656.24,14431.99,15957.19,8104.044,14714.44,18244.99,zero
