Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.087097,3.190323,3.135484,3.170968,3.177419,3.135484,11890,23852.38,15628.23,20151.48,21255.28,15628.23,zero
19,3.067742,3.193548,3.196774,3.174194,3.196774,3.183871,10830.83,24600.02,25394.4,20689.25,25394.4,22481.69,zero
38,3.058064,3.158064,3.167742,3.096774,3.13871,3.135484,10364.8,18244.99,19639.98,12495.24,15957.19,15628.23,zero
57,3.06129,3.167742,3.183871,3.13871,3.164516,3.177419,10515.95,19639.98,22481.69,15957.19,19152.84,21255.28,zero
76,3.116129,3.151613,3.177419,3.164516,3.141935,3.177419,13896.84,17416.07,21255.28,19152.84,16299.58,21255.28,zero
94,3.070968,3.174194,3.180645,3.112903,3.203226,3.141935,10994.93,20689.25,21851.91,13643.1,27142.03,16299.58,zero
113,3.083871,3.2,3.145161,3.122581,3.148387,3.13871,11700.3,26240.03,16656.24,14431.99,17028.07,15957.19,zero
133,3.13871,3.13871,3.132258,3.103226,3.154839,3.125806,15957.19,15957.19,15311.92,12931.8,17821.32,14714.44,zero
152,3.096774,3.164516,3.16129,3.132258,3.158064,3.183871,12495.24,19152.84,18688.36,15311.92,18244.99,22481.69,zero
173,3.119355,3.167742,3.206452,3.154839,3.13871,3.164516,14159.64,19639.98,28106.23,17821.32,15957.19,19152.84,zero
194,3.070968,3.129032,3.132258,3.106452,3.158064,3.141935,10994.93,15007.54,15311.92,13161,18244.99,16299.58,zero
211,3.096774,3.145161,3.177419,3.13871,3.167742,3.13871,12495.24,16656.24,21255.28,15957.19,19639.98,15957.19,zero
230,3.070968,3.141935,3.145161,3.112903,3.177419,3.170968,10994.93,16299.58,16656.24,13643.1,21255.28,20151.48,zero
250,3.093548,3.154839,3.151613,3.158064,3.177419,3.16129,12287.18,17821.32,17416.07,18244.99,21255.28,18688.36,zero
