Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.180645,3.206452,3.203226,2.916129,3.187097,3.174194,21851.91,28106.23,27142.03,6229.241,23147.45,20689.25,zero
21,3.225806,3.2,3.225806,2.916129,3.248387,3.177419,35652.21,26240.03,35652.21,6229.241,51608.8,21255.28,zero
41,3.209677,3.196774,3.245161,2.951613,3.222581,3.180645,29139.31,25394.4,48524.75,6947.224,34132.53,21851.91,zero
60,3.177419,3.170968,3.225806,2.96129,3.212903,3.170968,21255.28,20151.48,35652.21,7169.145,30248.92,20151.48,zero
79,3.203226,3.222581,3.232258,2.912903,3.196774,3.212903,27142.03,34132.53,39125.75,6170.498,25394.4,30248.92,zero
99,3.187097,3.232258,3.225806,2.951613,3.193548,3.190323,23147.45,39125.75,35652.21,6947.224,24600.02,23852.38,zero
118,3.23871,3.222581,3.206452,2.970968,3.187097,3.2,43330.57,34132.53,28106.23,7404.12,23147.45,26240.03,zero
139,3.196774,3.216129,3.26129,2.912903,3.180645,3.193548,25394.4,31443.88,69085.06,6170.498,21851.91,24600.02,zero
158,3.196774,3.190323,3.251613,2.903226,3.196774,3.183871,25394.4,23852.38,55104.05,5999.998,25394.4,22481.69,zero
177,3.170968,3.158064,3.264516,2.941936,3.209677,3.183871,20151.48,18244.99,75440.07,6737.299,29139.31,22481.69,zero
196,3.196774,3.251613,3.212903,2.954839,3.190323,3.212903,25394.4,55104.05,30248.92,7019.815,23852.38,30248.92,zero
215,3.209677,3.251613,3.196774,2.93871,3.248387,3.212903,29139.31,55104.05,25394.4,6669.824,51608.8,30248.92,zero
236,3.183871,3.190323,3.212903,2.93871,3.190323,3.241935,22481.69,23852.38,30248.92,6669.824,23852.38,45783.38,zero
256,3.235484,3.245161,3.222581,2.909677,3.196774,3.190323,41123.04,48524.75,34132.53,6112.726,25394.4,23852.38,zero
276,3.229032,3.167742,3.248387,2.948387,3.248387,3.203226,37310.04,19639.98,51608.8,6875.965,51608.8,27142.03,zero
295,3.248387,3.216129,3.235484,2.941936,3.177419,3.196774,51608.8,31443.88,41123.04,6737.299,21255.28,25394.4,zero
314,3.190323,3.245161,3.267742,2.93871,3.225806,3.232258,23852.38,48524.75,83066.08,6669.824,35652.21,39125.75,zero
335,3.2,3.183871,3.26129,2.925807,3.209677,3.180645,26240.03,22481.69,69085.06,6411.554,29139.31,21851.91,zero
354,3.23871,3.180645,3.193548,2.958065,3.187097,3.196774,43330.57,21851.91,24600.02,7093.775,23147.45,25394.4,zero
373,3.216129,3.203226,3.196774,2.916129,3.248387,3.241935,31443.88,27142.03,25394.4,6229.241,51608.8,45783.38,zero
395,3.232258,3.206452,3.251613,2.922581,3.248387,3.193548,39125.75,28106.23,55104.05,6349.746,51608.8,24600.02,zero
415,3.212903,3.241935,3.206452,2.945161,3.209677,3.177419,30248.92,45783.38,28106.23,6806.002,29139.31,21255.28,zero
435,3.222581,3.193548,3.225806,2.977419,3.190323,3.167742,34132.53,24600.02,35652.21,7568.602,23852.38,19639.98,zero
456,3.251613,3.190323,3.216129,2.977419,3.235484,3.190323,55104.05,23852.38,31443.88,7568.602,41123.04,23852.38,zero
476,3.2,3.241935,3.222581,2.932258,3.196774,3.2,26240.03,45783.38,34132.53,6538.423,25394.4,26240.03,zero
495,3.196774,3.183871,3.206452,2.974194,3.216129,3.232258,25394.4,22481.69,28106.23,7485.546,31443.88,39125.75,zero
514,3.232258,3.193548,3.190323,2.941936,3.187097,3.203226,39125.75,24600.02,23852.38,6737.299,23147.45,27142.03,zero
534,3.219355,3.180645,3.196774,2.929032,3.190323,3.174194,32734.43,21851.91,25394.4,6474.437,23852.38,20689.25,zero
555,3.232258,3.219355,3.206452,2.941936,3.183871,3.174194,39125.75,32734.43,28106.23,6737.299,22481.69,20689.25,zero
576,3.258065,3.196774,3.216129,2.964516,3.229032,3.180645,63707.75,25394.4,31443.88,7245.964,37310.04,21851.91,zero
595,3.187097,3.183871,3.225806,2.935484,3.196774,3.216129,23147.45,22481.69,35652.21,6603.542,25394.4,31443.88,zero
615,3.183871,3.235484,3.248387,2.929032,3.251613,3.170968,22481.69,41123.04,51608.8,6474.437,55104.05,20151.48,zero
635,3.183871,3.193548,3.212903,2.935484,3.193548,3.196774,22481.69,24600.02,30248.92,6603.542,24600.02,25394.4,zero
656,3.219355,3.180645,3.2,2.929032,3.187097,3.229032,32734.43,21851.91,26240.03,6474.437,23147.45,37310.04,zero
