Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.109677,3.141935,3.087097,2.841935,3.112903,2.964516,13397.96,16299.58,11890,5087.464,13643.1,7245.964,zero
17,3.090322,3.1,3.158064,2.890322,3.103226,2.977419,12085.54,12710,18244.99,5785.195,12931.8,7568.602,zero
34,3.090322,3.13871,3.103226,2.832258,3.112903,2.964516,12085.54,15957.19,12931.8,4965.241,13643.1,7245.964,zero
51,3.077419,3.106452,3.129032,2.880645,3.096774,3.025806,11337.39,13161,15007.54,5632.768,12495.24,9048.941,zero
68,3.077419,3.122581,3.090322,2.883871,3.132258,3.029032,11337.39,14431.99,12085.54,5682.79,15311.92,9166.429,zero
85,3.13871,3.083871,3.16129,2.887097,3.154839,3.022581,15957.19,11700.3,18688.36,5733.592,17821.32,8934.187,zero
102,3.122581,3.106452,3.129032,2.825806,3.122581,2.974194,14431.99,13161,15007.54,4886.53,14431.99,7485.546,zero
118,3.122581,3.106452,3.093548,2.864516,3.093548,2.964516,14431.99,13161,12287.18,5393.777,12287.18,7245.964,zero
135,3.103226,3.119355,3.125806,2.880645,3.103226,2.977419,12931.8,14159.64,14714.44,5632.768,12931.8,7568.602,zero
152,3.093548,3.135484,3.096774,2.835484,3.090322,3.009677,12287.18,15628.23,12495.24,5005.416,12085.54,8500.668,zero
169,3.096774,3.1,3.141935,2.832258,3.125806,3.006452,12495.24,12710,16299.58,4965.241,14714.44,8398.242,zero
186,3.141935,3.125806,3.083871,2.854839,3.109677,2.974194,16299.58,14714.44,11700.3,5258.695,13397.96,7485.546,zero
203,3.070968,3.109677,3.135484,2.896774,3.154839,2.964516,10994.93,13397.96,15628.23,5890.878,17821.32,7245.964,zero
220,3.158064,3.158064,3.090322,2.887097,3.093548,3.016129,18244.99,18244.99,12085.54,5733.592,12287.18,8712.501,zero
237,3.132258,3.132258,3.151613,2.83871,3.116129,2.967742,15311.92,15311.92,17416.07,5046.153,13896.84,7324.274,zero
253,3.141935,3.145161,3.125806,2.9,3.093548,2.948387,16299.58,16656.24,14714.44,5944.999,12287.18,6875.965,zero
270,3.112903,3.1,3.087097,2.887097,3.087097,3.016129,13643.1,12710,11890,5733.592,11890,8712.501,zero
287,3.141935,3.112903,3.093548,2.851613,3.093548,3.003226,16299.58,13643.1,12287.18,5214.963,12287.18,8298.045,zero
304,3.154839,3.109677,3.093548,2.86129,3.112903,2.970968,17821.32,13397.96,12287.18,5348.087,13643.1,7404.12,zero
321,3.116129,3.093548,3.119355,2.854839,3.141935,2.970968,13896.84,12287.18,14159.64,5258.695,16299.58,7404.12,zero
338,3.096774,3.125806,3.13871,2.841935,3.109677,2.974194,12495.24,14714.44,15957.19,5087.464,13397.96,7485.546,zero
354,3.103226,3.129032,3.129032,2.841935,3.090322,3.077419,12931.8,15007.54,15007.54,5087.464,12085.54,11337.39,zero
371,3.096774,3.122581,3.090322,2.832258,3.112903,3.032258,12495.24,14431.99,12085.54,4965.241,13643.1,9286.748,zero
388,3.116129,3.087097,3.16129,2.883871,3.125806,3.054839,13896.84,11890,18688.36,5682.79,14714.44,10217.63,zero
