Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.058064,3.158064,3.125806,2.954839,3.16129,3.116129,10364.8,18244.99,14714.44,7019.815,18688.36,13896.84,zero
21,3.096774,3.187097,3.129032,2.964516,3.167742,3.154839,12495.24,23147.45,15007.54,7245.964,19639.98,17821.32,zero
41,3.112903,3.132258,3.132258,2.951613,3.125806,3.112903,13643.1,15311.92,15311.92,6947.224,14714.44,13643.1,zero
61,3.087097,3.187097,3.129032,2.990323,3.13871,3.148387,11890,23147.45,15007.54,7918.126,15957.19,17028.07,zero
79,3.087097,3.187097,3.145161,2.970968,3.135484,3.112903,11890,23147.45,16656.24,7404.12,15628.23,13643.1,zero
98,3.054839,3.129032,3.167742,2.974194,3.158064,3.158064,10217.63,15007.54,19639.98,7485.546,18244.99,18244.99,zero
118,3.041935,3.148387,3.145161,2.948387,3.141935,3.125806,9665.75,17028.07,16656.24,6875.965,16299.58,14714.44,zero
138,3.019355,3.145161,3.167742,3.012903,3.13871,3.13871,8822.07,16656.24,19639.98,8605.394,15957.19,15957.19,zero
157,3.032258,3.109677,3.129032,3.012903,3.116129,3.132258,9286.748,13397.96,15007.54,8605.394,13896.84,15311.92,zero
176,3.03871,3.109677,3.125806,2.977419,3.174194,3.1,9536.297,13397.96,14714.44,7568.602,20689.25,12710,zero
194,3.032258,3.180645,3.170968,2.993548,3.125806,3.135484,9286.748,21851.91,20151.48,8010.107,14714.44,15628.23,zero
214,3.064516,3.122581,3.141935,2.967742,3.148387,3.135484,10671.23,14431.99,16299.58,7324.274,17028.07,15628.23,zero
234,3.035484,3.103226,3.177419,2.948387,3.13871,3.109677,9410,12931.8,21255.28,6875.965,15957.19,13397.96,zero
253,3.083871,3.106452,3.13871,2.967742,3.148387,3.1,11700.3,13161,15957.19,7324.274,17028.07,12710,zero
271,3.016129,3.132258,3.151613,2.967742,3.13871,3.119355,8712.501,15311.92,17416.07,7324.274,15957.19,14159.64,zero
291,3.048387,3.125806,3.193548,2.954839,3.141935,3.132258,9934.615,14714.44,24600.02,7019.815,16299.58,15311.92,zero
310,3.009677,3.190323,3.151613,2.964516,3.145161,3.151613,8500.668,23852.38,17416.07,7245.964,16656.24,17416.07,zero
329,3.006452,3.164516,3.129032,2.948387,3.190323,3.141935,8398.242,19152.84,15007.54,6875.965,23852.38,16299.58,zero
