Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.135484,3.06129,1.164516,2.916129,3.141935,3.13871,15628.23,10515.95,447.1601,6229.241,16299.58,15957.19,zero
17,3.112903,3.122581,1.164516,2.890322,3.129032,3.093548,13643.1,14431.99,447.1601,5785.195,15007.54,12287.18,zero
34,3.154839,3.103226,1.151613,2.874193,3.167742,3.080645,17821.32,12931.8,439.5496,5534.999,19639.98,11516.17,zero
51,3.112903,3.054839,1.151613,2.906451,3.132258,3.1,13643.1,10217.63,439.5496,6055.899,15311.92,12710,zero
68,3.158064,3.125806,1.254839,2.903226,3.1,3.087097,18244.99,14714.44,503.123,5999.998,12710,11890,zero
85,3.093548,3.119355,1.241935,2.9,3.132258,3.119355,12287.18,14159.64,494.8276,5944.999,15311.92,14159.64,zero
102,3.093548,3.064516,1.183871,2.906451,3.125806,3.077419,12287.18,10671.23,458.75,6055.899,14714.44,11337.39,zero
119,3.109677,3.06129,1.245161,2.903226,3.112903,3.083871,13397.96,10515.95,496.8917,5999.998,13643.1,11700.3,zero
137,3.1,3.06129,1.158064,2.896774,3.16129,3.067742,12710,10515.95,443.3434,5890.878,18688.36,10830.83,zero
154,3.096774,3.070968,1.206452,2.906451,3.122581,3.074193,12495.24,10994.93,472.5424,6055.899,14431.99,11163.71,zero
171,3.116129,3.058064,1.145161,2.864516,3.151613,3.080645,13896.84,10364.8,435.7785,5393.777,17416.07,11516.17,zero
188,3.112903,3.070968,1.209677,2.916129,3.129032,3.096774,13643.1,10994.93,474.5371,6229.241,15007.54,12495.24,zero
205,3.141935,3.087097,1.245161,2.864516,3.109677,3.141935,16299.58,11890,496.8917,5393.777,13397.96,16299.58,zero
222,3.13871,3.103226,1.222581,2.929032,3.129032,3.087097,15957.19,12931.8,482.5776,6474.437,15007.54,11890,zero
239,3.112903,3.135484,1.225806,2.877419,3.135484,3.087097,13643.1,15628.23,484.6035,5583.51,15628.23,11890,zero
255,3.158064,3.06129,1.203226,2.887097,3.148387,3.077419,18244.99,10515.95,470.5539,5733.592,17028.07,11337.39,zero
272,3.125806,3.058064,1.229032,2.874193,3.151613,3.077419,14714.44,10364.8,486.6356,5534.999,17416.07,11337.39,zero
289,3.096774,3.096774,1.216129,2.880645,3.132258,3.122581,12495.24,12495.24,478.5449,5632.768,15311.92,14431.99,zero
306,3.109677,3.064516,1.229032,2.874193,3.125806,3.13871,13397.96,10671.23,486.6356,5534.999,14714.44,15957.19,zero
323,3.106452,3.041935,1.219355,2.877419,3.158064,3.112903,13161,9665.75,480.5582,5583.51,18244.99,13643.1,zero
340,3.096774,3.048387,1.270968,2.909677,3.135484,3.070968,12495.24,9934.615,513.6407,6112.726,15628.23,10994.93,zero
357,3.096774,3.064516,1.245161,2.925807,3.106452,3.087097,12495.24,10671.23,496.8917,6411.554,13161,11890,zero
374,3.106452,3.080645,1.3,2.909677,3.116129,3.132258,13161,11516.17,533,6112.726,13896.84,15311.92,zero
391,3.119355,3.103226,1.280645,2.903226,3.145161,3.145161,14159.64,12931.8,520.032,5999.998,16656.24,16656.24,action
408,3.122581,3.06129,1.283871,2.896774,3.093548,3.070968,14431.99,10515.95,522.176,5890.878,12287.18,10994.93,action
424,3.093548,3.125806,1.303226,2.903226,3.135484,3.103226,12287.18,14714.44,535.1857,5999.998,15628.23,12931.8,action
441,3.148387,3.125806,1.325806,2.893548,3.1,3.132258,17028.07,14714.44,550.6862,5837.618,12710,15311.92,action
458,3.106452,3.074193,1.312903,2.858064,3.116129,3.1,13161,11163.71,541.7857,5303.065,13896.84,12710,action
475,3.125806,3.132258,1.325806,2.874193,3.148387,3.122581,14714.44,15311.92,550.6862,5534.999,17028.07,14431.99,action
492,3.158064,3.080645,1.329032,2.932258,3.141935,3.083871,18244.99,11516.17,552.9296,6538.423,16299.58,11700.3,action
509,3.151613,3.077419,1.303226,2.887097,3.132258,3.087097,17416.07,11337.39,535.1857,5733.592,15311.92,11890,action
526,3.109677,3.064516,1.287097,2.932258,3.129032,3.141935,13397.96,10671.23,524.3269,6538.423,15007.54,16299.58,action
543,3.1,3.06129,1.290323,2.932258,3.119355,3.106452,12710,10515.95,526.4847,6538.423,14159.64,13161,action
560,3.103226,3.06129,1.303226,2.870968,3.116129,3.093548,12931.8,10515.95,535.1857,5487.217,13896.84,12287.18,action
577,3.1,3.106452,1.283871,2.870968,3.158064,3.087097,12710,13161,522.176,5487.217,18244.99,11890,action
593,3.106452,3.093548,1.280645,2.890322,3.154839,3.135484,13161,12287.18,520.032,5785.195,17821.32,15628.23,action
610,3.093548,3.093548,1.283871,2.867742,3.164516,3.13871,12287.18,12287.18,522.176,5440.148,19152.84,15957.19,action
627,3.148387,3.074193,1.264516,2.883871,3.154839,3.080645,17028.07,11163.71,509.4136,5682.79,17821.32,11516.17,action
644,3.132258,3.087097,1.264516,2.880645,3.103226,3.090322,15311.92,11890,509.4136,5632.768,12931.8,12085.54,action
661,3.103226,3.122581,1.274194,2.890322,3.135484,3.093548,12931.8,14431.99,515.7643,5785.195,15628.23,12287.18,action
678,3.158064,3.080645,1.267742,2.867742,3.13871,3.106452,18244.99,11516.17,511.5238,5440.148,15957.19,13161,action
695,3.093548,3.06129,1.277419,2.887097,3.129032,3.087097,12287.18,10515.95,517.8947,5733.592,15007.54,11890,action
712,3.148387,3.077419,1.296774,2.929032,3.109677,3.125806,17028.07,11337.39,530.8212,6474.437,13397.96,14714.44,action
729,3.112903,3.074193,1.277419,2.919355,3.13871,3.112903,13643.1,11163.71,517.8947,6288.985,15957.19,13643.1,action
745,3.148387,3.070968,1.293548,2.932258,3.106452,3.074193,17028.07,10994.93,528.6495,6538.423,13161,11163.71,action
762,3.106452,3.087097,1.270968,2.912903,3.164516,3.116129,13161,11890,513.6407,6170.498,19152.84,13896.84,action
779,3.122581,3.064516,1.287097,2.883871,3.1,3.080645,14431.99,10671.23,524.3269,5682.79,12710,11516.17,action
796,3.145161,3.067742,1.274194,2.925807,3.129032,3.096774,16656.24,10830.83,515.7643,6411.554,15007.54,12495.24,action
813,3.103226,3.064516,1.283871,2.896774,3.106452,3.093548,12931.8,10671.23,522.176,5890.878,13161,12287.18,action
830,3.129032,3.058064,1.277419,2.877419,3.132258,3.080645,15007.54,10364.8,517.8947,5583.51,15311.92,11516.17,action
847,3.16129,3.051613,1.280645,2.880645,3.158064,3.067742,18688.36,10074.29,520.032,5632.768,18244.99,10830.83,action
864,3.093548,3.090322,1.274194,2.874193,3.151613,3.077419,12287.18,12085.54,515.7643,5534.999,17416.07,11337.39,action
881,3.103226,3.1,1.277419,2.880645,3.106452,3.13871,12931.8,12710,517.8947,5632.768,13161,15957.19,action
897,3.135484,3.077419,1.270968,2.864516,3.132258,3.13871,15628.23,11337.39,513.6407,5393.777,15311.92,15957.19,action
914,3.13871,3.087097,1.290323,2.932258,3.13871,3.112903,15957.19,11890,526.4847,6538.423,15957.19,13643.1,action
931,3.119355,3.054839,1.316129,2.916129,3.112903,3.067742,14159.64,10217.63,544,6229.241,13643.1,10830.83,action
948,3.106452,3.06129,1.283871,2.916129,3.151613,3.109677,13161,10515.95,522.176,6229.241,17416.07,13397.96,action
965,3.116129,3.06129,1.3,2.883871,3.170968,3.087097,13896.84,10515.95,533,5682.79,20151.48,11890,action
982,3.119355,3.129032,1.306452,2.893548,3.13871,3.067742,14159.64,15007.54,537.3786,5837.618,15957.19,10830.83,action
999,3.148387,3.087097,1.287097,2.909677,3.129032,3.096774,17028.07,11890,524.3269,6112.726,15007.54,12495.24,action
1016,3.116129,3.096774,1.290323,2.880645,3.109677,3.125806,13896.84,12495.24,526.4847,5632.768,13397.96,14714.44,action
1032,3.109677,3.051613,1.290323,2.922581,3.16129,3.074193,13397.96,10074.29,526.4847,6349.746,18688.36,11163.71,action
