Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.190323,3.225806,3.23871,2.735484,3.258065,2.825806,23852.38,35652.21,43330.57,3973.486,63707.75,4886.53,zero
17,3.203226,3.248387,3.241935,2.706452,3.229032,2.787097,27142.03,51608.8,45783.38,3739.022,37310.04,4455.849,zero
34,3.203226,3.26129,3.274194,2.758065,3.2,2.803226,27142.03,69085.06,104037.6,4173.214,26240.03,4627.143,zero
51,3.203226,3.206452,3.209677,2.709677,3.229032,2.83871,27142.03,28106.23,29139.31,3763.935,37310.04,5046.153,zero
68,3.222581,3.267742,3.206452,2.693548,3.267742,2.848387,34132.53,83066.08,28106.23,3642.022,83066.08,5171.856,zero
85,3.235484,3.190323,3.216129,2.703226,3.212903,2.8,41123.04,23852.38,31443.88,3714.379,30248.92,4592,zero
102,3.212903,3.209677,3.26129,2.732258,3.254839,2.822581,30248.92,29139.31,69085.06,3946.25,59098.63,4847.973,zero
119,3.248387,3.2,3.219355,2.709677,3.258065,2.832258,51608.8,26240.03,32734.43,3763.935,63707.75,4965.241,zero
136,3.212903,3.241935,3.235484,2.716129,3.225806,2.812903,30248.92,45783.38,41123.04,3814.586,35652.21,4735.364,zero
153,3.196774,3.270968,3.229032,2.73871,3.267742,2.806452,25394.4,92386.75,37310.04,4001.035,83066.08,4662.745,zero
170,3.270968,3.245161,3.2,2.73871,3.222581,2.819355,92386.75,48524.75,26240.03,4001.035,34132.53,4809.933,zero
186,3.245161,3.241935,3.225806,2.690323,3.251613,2.822581,48524.75,45783.38,35652.21,3618.413,55104.05,4847.973,zero
203,3.216129,3.196774,3.219355,2.703226,3.206452,2.787097,31443.88,25394.4,32734.43,3714.379,28106.23,4455.849,zero
220,3.209677,3.232258,3.229032,2.73871,3.209677,2.848387,29139.31,39125.75,37310.04,4001.035,29139.31,5171.856,zero
237,3.203226,3.245161,3.232258,2.687097,3.206452,2.829032,27142.03,48524.75,39125.75,3595.053,28106.23,4925.616,zero
254,3.26129,3.251613,3.203226,2.696774,3.251613,2.809677,69085.06,55104.05,27142.03,3665.883,55104.05,4698.815,zero
271,3.232258,3.235484,3.26129,2.712903,3.241935,2.803226,39125.75,41123.04,69085.06,3789.121,45783.38,4627.143,zero
288,3.209677,3.203226,3.23871,2.709677,3.225806,2.809677,29139.31,27142.03,43330.57,3763.935,35652.21,4698.815,zero
304,3.2,3.241935,3.229032,2.693548,3.206452,2.832258,26240.03,45783.38,37310.04,3642.022,28106.23,4965.241,zero
321,3.254839,3.209677,3.216129,2.7,3.219355,2.796774,59098.63,29139.31,31443.88,3690.001,32734.43,4557.308,zero
338,3.183871,3.264516,3.277419,2.722581,3.270968,2.832258,22481.69,75440.07,119017.3,3866.369,92386.75,4965.241,zero
355,3.206452,3.229032,3.277419,2.725806,3.248387,2.829032,28106.23,37310.04,119017.3,3892.697,51608.8,4925.616,zero
372,3.245161,3.203226,3.225806,2.687097,3.2,2.803226,48524.75,27142.03,35652.21,3595.053,26240.03,4627.143,zero
389,3.274194,3.222581,3.225806,2.703226,3.222581,2.803226,104037.6,34132.53,35652.21,3714.379,34132.53,4627.143,zero
