Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.167742,3.183871,3.187097,3.051613,3.177419,3.212903,19639.98,22481.69,23147.45,10074.29,21255.28,30248.92,zero
17,3.196774,3.174194,3.187097,3.080645,3.190323,3.158064,25394.4,20689.25,23147.45,11516.17,23852.38,18244.99,zero
34,3.148387,3.219355,3.177419,3.032258,3.190323,3.187097,17028.07,32734.43,21255.28,9286.748,23852.38,23147.45,zero
51,3.164516,3.219355,3.23871,3.083871,3.203226,3.158064,19152.84,32734.43,43330.57,11700.3,27142.03,18244.99,zero
68,3.222581,3.170968,3.219355,3.035484,3.177419,3.167742,34132.53,20151.48,32734.43,9410,21255.28,19639.98,zero
85,3.158064,3.219355,3.196774,3.048387,3.183871,3.132258,18244.99,32734.43,25394.4,9934.615,22481.69,15311.92,zero
102,3.167742,3.206452,3.241935,3.045161,3.170968,3.177419,19639.98,28106.23,45783.38,9798.481,20151.48,21255.28,zero
119,3.232258,3.167742,3.212903,3.035484,3.254839,3.212903,39125.75,19639.98,30248.92,9410,59098.63,30248.92,zero
136,3.164516,3.177419,3.187097,3.025806,3.229032,3.158064,19152.84,21255.28,23147.45,9048.941,37310.04,18244.99,zero
153,3.180645,3.158064,3.209677,3.016129,3.232258,3.209677,21851.91,18244.99,29139.31,8712.501,39125.75,29139.31,zero
170,3.187097,3.167742,3.193548,3.03871,3.225806,3.167742,23147.45,19639.98,24600.02,9536.297,35652.21,19639.98,zero
187,3.158064,3.23871,3.187097,3.054839,3.235484,3.13871,18244.99,43330.57,23147.45,10217.63,41123.04,15957.19,zero
204,3.203226,3.174194,3.203226,3.067742,3.193548,3.170968,27142.03,20689.25,27142.03,10830.83,24600.02,20151.48,zero
221,3.206452,3.232258,3.2,3.022581,3.174194,3.2,28106.23,39125.75,26240.03,8934.187,20689.25,26240.03,zero
238,3.164516,3.245161,3.183871,3.032258,3.206452,3.158064,19152.84,48524.75,22481.69,9286.748,28106.23,18244.99,zero
254,3.235484,3.174194,3.206452,3.051613,3.190323,3.174194,41123.04,20689.25,28106.23,10074.29,23852.38,20689.25,zero
271,3.170968,3.206452,3.229032,3.016129,3.245161,3.158064,20151.48,28106.23,37310.04,8712.501,48524.75,18244.99,zero
288,3.154839,3.177419,3.170968,3.03871,3.193548,3.13871,17821.32,21255.28,20151.48,9536.297,24600.02,15957.19,zero
305,3.183871,3.196774,3.196774,3.029032,3.206452,3.167742,22481.69,25394.4,25394.4,9166.429,28106.23,19639.98,zero
322,3.180645,3.190323,3.23871,3.032258,3.248387,3.193548,21851.91,23852.38,43330.57,9286.748,51608.8,24600.02,zero
339,3.187097,3.170968,3.232258,3.016129,3.222581,3.151613,23147.45,20151.48,39125.75,8712.501,34132.53,17416.07,zero
356,3.167742,3.187097,3.196774,3.019355,3.196774,3.216129,19639.98,23147.45,25394.4,8822.07,25394.4,31443.88,zero
373,3.170968,3.2,3.248387,3.025806,3.183871,3.148387,20151.48,26240.03,51608.8,9048.941,22481.69,17028.07,zero
390,3.196774,3.170968,3.203226,3.022581,3.177419,3.212903,25394.4,20151.48,27142.03,8934.187,21255.28,30248.92,zero
407,3.170968,3.2,3.2,3.032258,3.248387,3.151613,20151.48,26240.03,26240.03,9286.748,51608.8,17416.07,zero
424,3.23871,3.203226,3.2,3.096774,3.187097,3.180645,43330.57,27142.03,26240.03,12495.24,23147.45,21851.91,zero
