Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.203226,3.245161,3.193548,2.96129,3.187097,3.064516,27142.03,48524.75,24600.02,7169.145,23147.45,10671.23,zero
17,3.241935,3.206452,3.196774,2.958065,3.190323,3.077419,45783.38,28106.23,25394.4,7093.775,23852.38,11337.39,zero
34,3.219355,3.222581,3.209677,2.945161,3.180645,3.077419,32734.43,34132.53,29139.31,6806.002,21851.91,11337.39,zero
51,3.16129,3.174194,3.180645,2.980645,3.241935,3.129032,18688.36,20689.25,21851.91,7653.334,45783.38,15007.54,zero
68,3.206452,3.167742,3.209677,2.967742,3.187097,3.070968,28106.23,19639.98,29139.31,7324.274,23147.45,10994.93,zero
85,3.164516,3.203226,3.225806,2.980645,3.212903,3.087097,19152.84,27142.03,35652.21,7653.334,30248.92,11890,zero
102,3.180645,3.167742,3.190323,2.967742,3.203226,3.13871,21851.91,19639.98,23852.38,7324.274,27142.03,15957.19,zero
119,3.183871,3.235484,3.248387,2.951613,3.196774,3.096774,22481.69,41123.04,51608.8,6947.224,25394.4,12495.24,zero
136,3.216129,3.174194,3.174194,2.941936,3.190323,3.070968,31443.88,20689.25,20689.25,6737.299,23852.38,10994.93,zero
154,3.193548,3.2,3.180645,2.932258,3.235484,3.109677,24600.02,26240.03,21851.91,6538.423,41123.04,13397.96,zero
171,3.170968,3.183871,3.212903,2.983871,3.177419,3.096774,20151.48,22481.69,30248.92,7739.797,21255.28,12495.24,zero
188,3.235484,3.170968,3.203226,3.009677,3.222581,3.1,41123.04,20151.48,27142.03,8500.668,34132.53,12710,zero
205,3.203226,3.170968,3.177419,2.983871,3.245161,3.070968,27142.03,20151.48,21255.28,7739.797,48524.75,10994.93,zero
222,3.158064,3.241935,3.251613,2.96129,3.183871,3.06129,18244.99,45783.38,55104.05,7169.145,22481.69,10515.95,zero
239,3.190323,3.183871,3.187097,2.954839,3.187097,3.083871,23852.38,22481.69,23147.45,7019.815,23147.45,11700.3,zero
255,3.2,3.167742,3.180645,3.019355,3.193548,3.135484,26240.03,19639.98,21851.91,8822.07,24600.02,15628.23,zero
272,3.241935,3.177419,3.2,2.967742,3.23871,3.067742,45783.38,21255.28,26240.03,7324.274,43330.57,10830.83,zero
289,3.245161,3.222581,3.183871,2.96129,3.232258,3.122581,48524.75,34132.53,22481.69,7169.145,39125.75,14431.99,zero
306,3.212903,3.167742,3.23871,2.977419,3.196774,3.122581,30248.92,19639.98,43330.57,7568.602,25394.4,14431.99,zero
323,3.209677,3.180645,3.245161,3.006452,3.196774,3.119355,29139.31,21851.91,48524.75,8398.242,25394.4,14159.64,zero
341,3.183871,3.232258,3.193548,2.970968,3.235484,3.074193,22481.69,39125.75,24600.02,7404.12,41123.04,11163.71,zero
358,3.203226,3.219355,3.180645,2.980645,3.225806,3.109677,27142.03,32734.43,21851.91,7653.334,35652.21,13397.96,zero
375,3.180645,3.187097,3.177419,2.958065,3.245161,3.106452,21851.91,23147.45,21255.28,7093.775,48524.75,13161,zero
392,3.219355,3.235484,3.170968,2.951613,3.193548,3.067742,32734.43,41123.04,20151.48,6947.224,24600.02,10830.83,zero
409,3.222581,3.187097,3.183871,3.003226,3.193548,3.077419,34132.53,23147.45,22481.69,8298.045,24600.02,11337.39,zero
426,3.190323,3.219355,3.187097,2.96129,3.209677,3.083871,23852.38,32734.43,23147.45,7169.145,29139.31,11700.3,zero
443,3.190323,3.248387,3.2,2.983871,3.196774,3.090322,23852.38,51608.8,26240.03,7739.797,25394.4,12085.54,zero
460,3.216129,3.222581,3.196774,2.996774,3.206452,3.070968,31443.88,34132.53,25394.4,8104.044,28106.23,10994.93,zero
477,3.209677,3.180645,3.251613,2.990323,3.23871,3.070968,29139.31,21851.91,55104.05,7918.126,43330.57,10994.93,zero
494,3.158064,3.187097,3.209677,3.003226,3.183871,3.109677,18244.99,23147.45,29139.31,8298.045,22481.69,13397.96,zero
511,3.170968,3.229032,3.180645,2.954839,3.209677,3.080645,20151.48,37310.04,21851.91,7019.815,29139.31,11516.17,zero
528,3.203226,3.170968,3.180645,2.93871,3.193548,3.074193,27142.03,20151.48,21851.91,6669.824,24600.02,11163.71,zero
545,3.229032,3.212903,3.229032,3.003226,3.232258,3.112903,37310.04,30248.92,37310.04,8298.045,39125.75,13643.1,zero
562,3.216129,3.216129,3.216129,2.948387,3.2,3.096774,31443.88,31443.88,31443.88,6875.965,26240.03,12495.24,zero
579,3.190323,3.206452,3.232258,2.96129,3.245161,3.077419,23852.38,28106.23,39125.75,7169.145,48524.75,11337.39,zero
596,3.183871,3.203226,3.248387,2.945161,3.203226,3.087097,22481.69,27142.03,51608.8,6806.002,27142.03,11890,zero
613,3.193548,3.170968,3.203226,2.954839,3.219355,3.074193,24600.02,20151.48,27142.03,7019.815,32734.43,11163.71,zero
630,3.174194,3.2,3.2,2.980645,3.206452,3.064516,20689.25,26240.03,26240.03,7653.334,28106.23,10671.23,zero
647,3.235484,3.180645,3.209677,2.964516,3.225806,3.103226,41123.04,21851.91,29139.31,7245.964,35652.21,12931.8,zero
664,3.222581,3.219355,3.174194,2.954839,3.167742,3.06129,34132.53,32734.43,20689.25,7019.815,19639.98,10515.95,zero
681,3.241935,3.180645,3.26129,3.003226,3.245161,3.116129,45783.38,21851.91,69085.06,8298.045,48524.75,13896.84,zero
698,3.170968,3.164516,3.232258,2.967742,3.241935,3.093548,20151.48,19152.84,39125.75,7324.274,45783.38,12287.18,zero
715,3.164516,3.212903,3.245161,2.996774,3.241935,3.077419,19152.84,30248.92,48524.75,8104.044,45783.38,11337.39,zero
732,3.229032,3.2,3.190323,2.954839,3.170968,3.116129,37310.04,26240.03,23852.38,7019.815,20151.48,13896.84,zero
749,3.187097,3.216129,3.219355,2.958065,3.174194,3.070968,23147.45,31443.88,32734.43,7093.775,20689.25,10994.93,zero
766,3.196774,3.167742,3.209677,2.954839,3.212903,3.090322,25394.4,19639.98,29139.31,7019.815,30248.92,12085.54,zero
783,3.183871,3.203226,3.206452,3.012903,3.196774,3.077419,22481.69,27142.03,28106.23,8605.394,25394.4,11337.39,zero
800,3.212903,3.174194,3.206452,2.948387,3.190323,3.080645,30248.92,20689.25,28106.23,6875.965,23852.38,11516.17,zero
817,3.196774,3.187097,3.203226,2.987097,3.183871,3.06129,25394.4,23147.45,27142.03,7828.042,22481.69,10515.95,zero
834,3.174194,3.174194,3.180645,2.967742,3.23871,3.13871,20689.25,20689.25,21851.91,7324.274,43330.57,15957.19,zero
852,3.180645,3.183871,3.254839,3,3.180645,3.090322,21851.91,22481.69,59098.63,8200.002,21851.91,12085.54,zero
869,3.190323,3.170968,3.216129,2.964516,3.212903,3.129032,23852.38,20151.48,31443.88,7245.964,30248.92,15007.54,zero
