Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance
938,0.006452,0.006452,0.006452,0,0.003226,0.003226,1.606268,1.606268,1.606268,-1,0.802348,0.802348
955,0.006452,0.012903,0.009677,0.006452,0.009677,0,1.606268,3.218842,2.411765,1.606268,2.411765,-1
972,0.009677,0.003226,0.006452,0,0.003226,0.006452,2.411765,0.802348,1.606268,-1,0.802348,1.606268
989,0.006452,0.003226,0,0.003226,0.009677,0.003226,1.606268,0.802348,-1,0.802348,2.411765,0.802348
1005,0.006452,0.003226,0.003226,0.012903,0,0.006452,1.606268,0.802348,0.802348,3.218842,-1,1.606268
1022,0.006452,0.012903,0.006452,0.003226,0,0.006452,1.606268,3.218842,1.606268,0.802348,-1,1.606268
1039,0.009677,0.009677,0.003226,0.003226,0.016129,0.025806,2.411765,2.411765,0.802348,0.802348,4.027505,6.463054
1056,0.006452,0,0.003226,0,0.006452,0.009677,1.606268,-1,0.802348,-1,1.606268,2.411765
1072,0.009677,0,0.003226,0.009677,0.006452,0,2.411765,-1,0.802348,2.411765,1.606268,-1
1089,0.006452,0.003226,0.003226,0.009677,0.009677,0.003226,1.606268,0.802348,0.802348,2.411765,2.411765,0.802348
1106,0.003226,0.006452,0.003226,0.006452,0.003226,0.003226,0.802348,1.606268,0.802348,1.606268,0.802348,0.802348
1123,0.012903,0.006452,0,0.006452,0.006452,0.016129,3.218842,1.606268,-1,1.606268,1.606268,4.027505
1139,0.003226,0,0.003226,0.006452,0.006452,0.012903,0.802348,-1,0.802348,1.606268,1.606268,3.218842
1156,0.003226,0.006452,0.009677,0,0.006452,0.012903,0.802348,1.606268,2.411765,-1,1.606268,3.218842
1173,0.012903,0.003226,0.006452,0.009677,0.003226,0.012903,3.218842,0.802348,1.606268,2.411765,0.802348,3.218842
1190,0.009677,0.006452,0.006452,0.006452,0.003226,0.016129,2.411765,1.606268,1.606268,1.606268,0.802348,4.027505
1207,0.003226,0.009677,0.006452,0.016129,0.006452,0.003226,0.802348,2.411765,1.606268,4.027505,1.606268,0.802348
1224,0.009677,0,0.003226,0.006452,0.006452,0,2.411765,-1,0.802348,1.606268,1.606268,-1
1241,0.006452,0.006452,0.003226,0.006452,0,0.003226,1.606268,1.606268,0.802348,1.606268,-1,0.802348
1258,0.003226,0,0.003226,0,0,0.006452,0.802348,-1,0.802348,-1,-1,1.606268
1274,0.006452,0.009677,0.006452,0,0.003226,0.009677,1.606268,2.411765,1.606268,-1,0.802348,2.411765
1291,0.016129,0.006452,0.003226,0.006452,0.006452,0.003226,4.027505,1.606268,0.802348,1.606268,1.606268,0.802348
1308,0.006452,0.006452,0.009677,0.006452,0.003226,0.006452,1.606268,1.606268,2.411765,1.606268,0.802348,1.606268
