Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label,FileName
0,3.116129,3.1,3.164516,2.732258,3.129032,2.790323,13896.84,12710.0,19152.84,3946.25,15007.54,4489.241,tiptoe,tiptoe_01_Xie.csv
17,3.13871,3.154839,3.109677,2.741935,3.148387,2.770968,15957.19,17821.32,13397.96,4028.902,17028.07,4295.0,tiptoe,tiptoe_01_Xie.csv
33,3.125806,3.167742,3.154839,2.76129,3.096774,2.774194,14714.44,19639.98,17821.32,4203.114,12495.24,4326.381,tiptoe,tiptoe_01_Xie.csv
50,3.132258,3.083871,3.132258,2.758065,3.096774,2.803226,15311.92,11700.3,15311.92,4173.214,12495.24,4627.143,tiptoe,tiptoe_01_Xie.csv
68,3.151613,3.122581,3.093548,2.73871,3.096774,2.777419,17416.07,14431.99,12287.18,4001.035,12495.24,4358.148,tiptoe,tiptoe_01_Xie.csv
85,3.154839,3.1,3.13871,2.758065,3.125806,2.783871,17821.32,12710.0,15957.19,4173.214,14714.44,4422.875,tiptoe,tiptoe_01_Xie.csv
101,3.083871,3.106452,3.087097,2.783871,3.109677,2.780645,11700.3,13161.0,11890.0,4422.875,13397.96,4390.311,tiptoe,tiptoe_01_Xie.csv
118,3.093548,3.103226,3.116129,2.729032,3.083871,2.8,12287.18,12931.8,13896.84,3919.323,11700.3,4592.0,tiptoe,tiptoe_01_Xie.csv
135,3.106452,3.158064,3.093548,2.754839,3.093548,2.812903,13161.0,18244.99,12287.18,4143.669,12287.18,4735.364,tiptoe,tiptoe_01_Xie.csv
152,3.093548,3.125806,3.096774,2.735484,3.103226,2.816129,12287.18,14714.44,12495.24,3973.486,12931.8,4772.4,tiptoe,tiptoe_01_Xie.csv
169,3.112903,3.116129,3.1,2.709677,3.093548,2.774194,13643.1,13896.84,12710.0,3763.935,12287.18,4326.381,tiptoe,tiptoe_01_Xie.csv
187,3.112903,3.093548,3.090322,2.73871,3.1,2.774194,13643.1,12287.18,12085.54,4001.035,12710.0,4326.381,tiptoe,tiptoe_01_Xie.csv
204,3.103226,3.096774,3.167742,2.735484,3.141935,2.787097,12931.8,12495.24,19639.98,3973.486,16299.58,4455.849,tiptoe,tiptoe_01_Xie.csv
221,3.090322,3.090322,3.1,2.719355,3.106452,2.819355,12085.54,12085.54,12710.0,3840.334,13161.0,4809.933,tiptoe,tiptoe_01_Xie.csv
238,3.103226,3.154839,3.090322,2.748387,3.096774,2.803226,12931.8,17821.32,12085.54,4085.615,12495.24,4627.143,tiptoe,tiptoe_01_Xie.csv
255,3.125806,3.122581,3.087097,2.7,3.103226,2.825806,14714.44,14431.99,11890.0,3690.001,12931.8,4886.53,tiptoe,tiptoe_01_Xie.csv
272,3.096774,3.1,3.141935,2.735484,3.093548,2.796774,12495.24,12710.0,16299.58,3973.486,12287.18,4557.308,tiptoe,tiptoe_01_Xie.csv
288,3.103226,3.103226,3.109677,2.683871,3.093548,2.777419,12931.8,12931.8,13397.96,3571.938,12287.18,4358.148,tiptoe,tiptoe_01_Xie.csv
305,3.151613,3.090322,3.141935,2.73871,3.1,2.783871,17416.07,12085.54,16299.58,4001.035,12710.0,4422.875,tiptoe,tiptoe_01_Xie.csv
322,3.109677,3.1,3.116129,2.748387,3.132258,2.812903,13397.96,12710.0,13896.84,4085.615,15311.92,4735.364,tiptoe,tiptoe_01_Xie.csv
340,3.1,3.096774,3.129032,2.751613,3.106452,2.764516,12710.0,12495.24,15007.54,4114.471,13161.0,4233.374,tiptoe,tiptoe_01_Xie.csv
357,3.116129,3.129032,3.151613,2.680645,3.109677,2.835484,13896.84,15007.54,17416.07,3549.063,13397.96,5005.416,tiptoe,tiptoe_01_Xie.csv
373,3.103226,3.1,3.112903,2.729032,3.145161,2.777419,12931.8,12710.0,13643.1,3919.323,16656.24,4358.148,tiptoe,tiptoe_01_Xie.csv
391,3.141935,3.1,3.112903,2.674194,3.132258,2.809677,16299.58,12710.0,13643.1,3504.021,15311.92,4698.815,tiptoe,tiptoe_01_Xie.csv
408,3.141935,3.103226,3.122581,2.741935,3.125806,2.822581,16299.58,12931.8,14431.99,4028.902,14714.44,4847.973,tiptoe,tiptoe_01_Xie.csv
426,3.080645,3.087097,3.16129,2.683871,3.106452,2.809677,11516.17,11890.0,18688.36,3571.938,13161.0,4698.815,tiptoe,tiptoe_01_Xie.csv
443,3.090322,3.103226,3.093548,2.725806,3.112903,2.780645,12085.54,12931.8,12287.18,3892.697,13643.1,4390.311,tiptoe,tiptoe_01_Xie.csv
460,3.122581,3.083871,3.096774,2.674194,3.109677,2.803226,14431.99,11700.3,12495.24,3504.021,13397.96,4627.143,tiptoe,tiptoe_01_Xie.csv
477,3.096774,3.154839,3.145161,2.706452,3.106452,2.748387,12495.24,17821.32,16656.24,3739.022,13161.0,4085.615,tiptoe,tiptoe_01_Xie.csv
494,3.132258,3.080645,3.093548,2.651613,3.116129,2.790323,15311.92,11516.17,12287.18,3353.432,13896.84,4489.241,tiptoe,tiptoe_01_Xie.csv
511,3.122581,3.122581,3.106452,2.690323,3.125806,2.774194,14431.99,14431.99,13161.0,3618.413,14714.44,4326.381,tiptoe,tiptoe_01_Xie.csv
527,3.090322,3.096774,3.090322,2.648387,3.13871,2.790323,12085.54,12495.24,12085.54,3332.772,15957.19,4489.241,tiptoe,tiptoe_01_Xie.csv
544,3.103226,3.109677,3.093548,2.693548,3.090322,2.780645,12931.8,13397.96,12287.18,3642.022,12085.54,4390.311,tiptoe,tiptoe_01_Xie.csv
562,3.109677,3.129032,3.158064,2.696774,3.087097,2.764516,13397.96,15007.54,18244.99,3665.883,11890.0,4233.374,tiptoe,tiptoe_01_Xie.csv
579,3.125806,3.129032,3.1,2.664516,3.119355,2.796774,14714.44,15007.54,12710.0,3438.172,14159.64,4557.308,tiptoe,tiptoe_01_Xie.csv
596,3.164516,3.087097,3.16129,2.641935,3.093548,2.780645,19152.84,11890.0,18688.36,3292.058,12287.18,4390.311,tiptoe,tiptoe_01_Xie.csv
612,3.106452,3.13871,3.158064,2.651613,3.090322,2.803226,13161.0,15957.19,18244.99,3353.432,12085.54,4627.143,tiptoe,tiptoe_01_Xie.csv
629,3.116129,3.158064,3.077419,2.641935,3.129032,2.829032,13896.84,18244.99,11337.39,3292.058,15007.54,4925.616,tiptoe,tiptoe_01_Xie.csv
646,3.16129,3.1,3.093548,2.7,3.093548,2.758065,18688.36,12710.0,12287.18,3690.001,12287.18,4173.214,tiptoe,tiptoe_01_Xie.csv
663,3.083871,3.164516,3.16129,2.696774,3.090322,2.758065,11700.3,19152.84,18688.36,3665.883,12085.54,4173.214,tiptoe,tiptoe_01_Xie.csv
680,3.122581,3.148387,3.1,2.654839,3.090322,2.774194,14431.99,17028.07,12710.0,3374.299,12085.54,4326.381,tiptoe,tiptoe_01_Xie.csv
697,3.158064,3.087097,3.125806,2.696774,3.116129,2.829032,18244.99,11890.0,14714.44,3665.883,13896.84,4925.616,tiptoe,tiptoe_01_Xie.csv
714,3.112903,3.122581,3.087097,2.645161,3.103226,2.819355,13643.1,14431.99,11890.0,3312.315,12931.8,4809.933,tiptoe,tiptoe_01_Xie.csv
731,3.1,3.154839,3.103226,2.66129,3.096774,2.780645,12710.0,17821.32,12931.8,3416.666,12495.24,4390.311,tiptoe,tiptoe_01_Xie.csv
748,3.135484,3.116129,3.106452,2.667742,3.116129,2.770968,15628.23,13896.84,13161.0,3459.898,13896.84,4295.0,tiptoe,tiptoe_01_Xie.csv
765,3.1,3.096774,3.083871,2.677419,3.109677,2.783871,12710.0,12495.24,11700.3,3526.426,13397.96,4422.875,tiptoe,tiptoe_01_Xie.csv
782,3.083871,3.125806,3.090322,2.7,3.129032,2.809677,11700.3,14714.44,12085.54,3690.001,15007.54,4698.815,tiptoe,tiptoe_01_Xie.csv
799,3.145161,3.096774,3.13871,2.654839,3.116129,2.754839,16656.24,12495.24,15957.19,3374.299,13896.84,4143.669,tiptoe,tiptoe_01_Xie.csv
816,3.087097,3.141935,3.096774,2.674194,3.087097,2.751613,11890.0,16299.58,12495.24,3504.021,11890.0,4114.471,tiptoe,tiptoe_01_Xie.csv
833,3.109677,3.087097,3.093548,2.667742,3.13871,2.758065,13397.96,11890.0,12287.18,3459.898,15957.19,4173.214,tiptoe,tiptoe_01_Xie.csv
850,3.090322,3.132258,3.1,2.654839,3.151613,2.790323,12085.54,15311.92,12710.0,3374.299,17416.07,4489.241,tiptoe,tiptoe_01_Xie.csv
866,3.122581,3.158064,3.103226,2.687097,3.129032,2.790323,14431.99,18244.99,12931.8,3595.053,15007.54,4489.241,tiptoe,tiptoe_01_Xie.csv
883,3.145161,3.106452,3.1,2.677419,3.112903,2.767742,16656.24,13161.0,12710.0,3526.426,13643.1,4264.0,tiptoe,tiptoe_01_Xie.csv
900,3.106452,3.151613,3.083871,2.654839,3.109677,2.764516,13161.0,17416.07,11700.3,3374.299,13397.96,4233.374,tiptoe,tiptoe_01_Xie.csv
917,3.096774,3.080645,3.154839,2.693548,3.16129,2.8,12495.24,11516.17,17821.32,3642.022,18688.36,4592.0,tiptoe,tiptoe_01_Xie.csv
934,3.129032,3.122581,3.112903,2.658064,3.13871,2.764516,15007.54,14431.99,13643.1,3395.376,15957.19,4233.374,tiptoe,tiptoe_01_Xie.csv
951,3.16129,3.1,3.141935,2.703226,3.1,2.770968,18688.36,12710.0,16299.58,3714.379,12710.0,4295.0,tiptoe,tiptoe_01_Xie.csv
968,3.125806,3.106452,3.164516,2.645161,3.125806,2.829032,14714.44,13161.0,19152.84,3312.315,14714.44,4925.616,tiptoe,tiptoe_01_Xie.csv
985,3.112903,3.087097,3.087097,2.664516,3.106452,2.819355,13643.1,11890.0,11890.0,3438.172,13161.0,4809.933,tiptoe,tiptoe_01_Xie.csv
1002,3.129032,3.164516,3.087097,2.725806,3.129032,2.774194,15007.54,19152.84,11890.0,3892.697,15007.54,4326.381,tiptoe,tiptoe_01_Xie.csv
1019,3.135484,3.106452,3.087097,2.725806,3.083871,2.832258,15628.23,13161.0,11890.0,3892.697,11700.3,4965.241,tiptoe,tiptoe_01_Xie.csv
1036,3.16129,3.135484,3.119355,2.658064,3.119355,2.796774,18688.36,15628.23,14159.64,3395.376,14159.64,4557.308,tiptoe,tiptoe_01_Xie.csv
1054,3.093548,3.16129,3.096774,2.664516,3.112903,2.777419,12287.18,18688.36,12495.24,3438.172,13643.1,4358.148,tiptoe,tiptoe_01_Xie.csv
1071,3.148387,3.103226,3.103226,2.680645,3.112903,2.819355,17028.07,12931.8,12931.8,3549.063,13643.1,4809.933,tiptoe,tiptoe_01_Xie.csv
1088,3.119355,3.16129,3.125806,2.677419,3.090322,2.825806,14159.64,18688.36,14714.44,3526.426,12085.54,4886.53,tiptoe,tiptoe_01_Xie.csv
1105,3.090322,3.13871,3.125806,2.722581,3.16129,2.796774,12085.54,15957.19,14714.44,3866.369,18688.36,4557.308,tiptoe,tiptoe_01_Xie.csv
1122,3.112903,3.096774,3.087097,2.674194,3.096774,2.774194,13643.1,12495.24,11890.0,3504.021,12495.24,4326.381,tiptoe,tiptoe_01_Xie.csv
1139,3.154839,3.116129,3.093548,2.690323,3.090322,2.8,17821.32,13896.84,12287.18,3618.413,12085.54,4592.0,tiptoe,tiptoe_01_Xie.csv
1156,3.119355,3.096774,3.096774,2.670968,3.164516,2.764516,14159.64,12495.24,12495.24,3481.847,19152.84,4233.374,tiptoe,tiptoe_01_Xie.csv
1173,3.151613,3.13871,3.087097,2.664516,3.093548,2.790323,17416.07,15957.19,11890.0,3438.172,12287.18,4489.241,tiptoe,tiptoe_01_Xie.csv
1190,3.132258,3.103226,3.125806,2.648387,3.112903,2.767742,15311.92,12931.8,14714.44,3332.772,13643.1,4264.0,tiptoe,tiptoe_01_Xie.csv
1207,3.087097,3.135484,3.090322,2.658064,3.109677,2.770968,11890.0,15628.23,12085.54,3395.376,13397.96,4295.0,tiptoe,tiptoe_01_Xie.csv
1224,3.132258,3.067742,3.1,2.664516,3.119355,2.787097,15311.92,10830.83,12710.0,3438.172,14159.64,4455.849,tiptoe,tiptoe_01_Xie.csv
1241,3.106452,3.125806,3.164516,2.674194,3.125806,2.796774,13161.0,14714.44,19152.84,3504.021,14714.44,4557.308,tiptoe,tiptoe_01_Xie.csv
1258,3.1,3.083871,3.135484,2.680645,3.1,2.764516,12710.0,11700.3,15628.23,3549.063,12710.0,4233.374,tiptoe,tiptoe_01_Xie.csv
1275,3.16129,3.106452,3.16129,2.670968,3.135484,2.76129,18688.36,13161.0,18688.36,3481.847,15628.23,4203.114,tiptoe,tiptoe_01_Xie.csv
1292,3.122581,3.116129,3.151613,2.680645,3.1,2.793548,14431.99,13896.84,17416.07,3549.063,12710.0,4523.057,tiptoe,tiptoe_01_Xie.csv
1309,3.096774,3.093548,3.093548,2.690323,3.096774,2.758065,12495.24,12287.18,12287.18,3618.413,12495.24,4173.214,tiptoe,tiptoe_01_Xie.csv
1326,3.093548,3.083871,3.112903,2.693548,3.119355,2.767742,12287.18,11700.3,13643.1,3642.022,14159.64,4264.0,tiptoe,tiptoe_01_Xie.csv
1344,3.106452,3.112903,3.116129,2.683871,3.093548,2.767742,13161.0,13643.1,13896.84,3571.938,12287.18,4264.0,tiptoe,tiptoe_01_Xie.csv
1361,3.093548,3.1,3.103226,2.674194,3.132258,2.783871,12287.18,12710.0,12931.8,3504.021,15311.92,4422.875,tiptoe,tiptoe_01_Xie.csv
1377,3.070968,3.090322,3.119355,2.716129,3.087097,2.829032,10994.93,12085.54,14159.64,3814.586,11890.0,4925.616,tiptoe,tiptoe_01_Xie.csv
1394,3.080645,3.1,3.148387,2.703226,3.103226,2.783871,11516.17,12710.0,17028.07,3714.379,12931.8,4422.875,tiptoe,tiptoe_01_Xie.csv
1411,3.122581,3.083871,3.141935,2.696774,3.16129,2.780645,14431.99,11700.3,16299.58,3665.883,18688.36,4390.311,tiptoe,tiptoe_01_Xie.csv
1429,3.109677,3.090322,3.122581,2.693548,3.096774,2.774194,13397.96,12085.54,14431.99,3642.022,12495.24,4326.381,tiptoe,tiptoe_01_Xie.csv
1446,3.103226,3.122581,3.090322,2.690323,3.145161,2.764516,12931.8,14431.99,12085.54,3618.413,16656.24,4233.374,tiptoe,tiptoe_01_Xie.csv
1463,3.132258,3.090322,3.106452,2.658064,3.13871,2.780645,15311.92,12085.54,13161.0,3395.376,15957.19,4390.311,tiptoe,tiptoe_01_Xie.csv
1480,3.132258,3.096774,3.096774,2.66129,3.151613,2.829032,15311.92,12495.24,12495.24,3416.666,17416.07,4925.616,tiptoe,tiptoe_01_Xie.csv
1497,3.096774,3.141935,3.13871,2.654839,3.112903,2.780645,12495.24,16299.58,15957.19,3374.299,13643.1,4390.311,tiptoe,tiptoe_01_Xie.csv
1514,3.109677,3.087097,3.093548,2.658064,3.087097,2.783871,13397.96,11890.0,12287.18,3395.376,11890.0,4422.875,tiptoe,tiptoe_01_Xie.csv
1531,3.132258,3.141935,3.103226,2.687097,3.103226,2.764516,15311.92,16299.58,12931.8,3595.053,12931.8,4233.374,tiptoe,tiptoe_01_Xie.csv
1548,3.122581,3.129032,3.112903,2.641935,3.093548,2.8,14431.99,15007.54,13643.1,3292.058,12287.18,4592.0,tiptoe,tiptoe_01_Xie.csv
1565,3.106452,3.112903,3.13871,2.63871,3.122581,2.770968,13161.0,13643.1,15957.19,3272.0,14431.99,4295.0,tiptoe,tiptoe_01_Xie.csv
1582,3.145161,3.132258,3.132258,2.635484,3.119355,2.751613,16656.24,15311.92,15311.92,3252.135,14159.64,4114.471,tiptoe,tiptoe_01_Xie.csv
1599,3.1,3.103226,3.080645,2.629032,3.096774,2.754839,12710.0,12931.8,11516.17,3212.98,12495.24,4143.669,tiptoe,tiptoe_01_Xie.csv
1616,3.112903,3.151613,1.358065,2.670968,3.125806,2.764516,13643.1,17416.07,573.4552,3481.847,14714.44,4233.374,tiptoe,tiptoe_01_Xie.csv
1633,3.158064,3.170968,1.1,2.616129,3.151613,2.748387,18244.99,20151.48,410.0001,3136.886,17416.07,4085.615,tiptoe,tiptoe_01_Xie.csv
1650,3.122581,3.154839,0.812903,2.612903,3.158064,2.767742,14431.99,17821.32,268.0156,3118.309,18244.99,4264.0,tiptoe,tiptoe_01_Xie.csv
1667,3.116129,3.109677,0.419355,2.616129,3.154839,2.770968,13896.84,13397.96,119.3729,3136.886,17821.32,4295.0,tiptoe,tiptoe_01_Xie.csv
1684,3.135484,3.129032,0.26129,2.667742,3.164516,2.748387,15628.23,15007.54,70.50955,3459.898,19152.84,4085.615,tiptoe,tiptoe_01_Xie.csv
1701,3.132258,3.116129,0.251613,2.635484,3.183871,2.8,15311.92,13896.84,67.68254,3252.135,22481.69,4592.0,tiptoe,tiptoe_01_Xie.csv
1718,3.13871,3.129032,0.23871,2.63871,3.132258,2.790323,15957.19,15007.54,63.94099,3272.0,15311.92,4489.241,tiptoe,tiptoe_01_Xie.csv
1735,3.170968,3.135484,0.235484,2.658064,3.129032,2.758065,20151.48,15628.23,63.01053,3395.376,15007.54,4173.214,tiptoe,tiptoe_01_Xie.csv
1752,3.129032,3.106452,0.254839,2.619355,3.132258,2.770968,15007.54,13161.0,68.62288,3155.639,15311.92,4295.0,tiptoe,tiptoe_01_Xie.csv
1769,3.135484,3.112903,0.235484,2.651613,3.125806,2.8,15628.23,13643.1,63.01053,3353.432,14714.44,4592.0,tiptoe,tiptoe_01_Xie.csv
1786,3.116129,3.116129,0.23871,2.641935,3.158064,2.877419,13896.84,13896.84,63.94099,3292.058,18244.99,5583.51,tiptoe,tiptoe_01_Xie.csv
1803,3.132258,3.077419,0.448387,2.648387,3.167742,2.970968,15311.92,11337.39,128.9367,3332.772,19639.98,7404.12,tiptoe,tiptoe_01_Xie.csv
1820,3.112903,3.119355,0.23871,2.667742,3.177419,2.974194,13643.1,14159.64,63.94099,3459.898,21255.28,7485.546,tiptoe,tiptoe_01_Xie.csv
1837,3.122581,3.129032,0.245161,2.651613,3.122581,2.932258,14431.99,15007.54,65.80782,3353.432,14431.99,6538.423,tiptoe,tiptoe_01_Xie.csv
1854,3.125806,3.096774,0.248387,2.648387,3.13871,2.806452,14714.44,12495.24,66.74419,3332.772,15957.19,4662.745,tiptoe,tiptoe_01_Xie.csv
1871,3.148387,3.109677,0.241935,2.632258,3.112903,3.103226,17028.07,13397.96,64.87341,3232.463,13643.1,12931.8,tiptoe,tiptoe_01_Xie.csv
1889,3.174194,3.080645,0.23871,2.651613,3.129032,3.119355,20689.25,11516.17,63.94099,3353.432,15007.54,14159.64,tiptoe,tiptoe_01_Xie.csv
1906,3.177419,3.080645,0.241935,2.654839,3.141935,2.983871,21255.28,11516.17,64.87341,3374.299,16299.58,7739.797,tiptoe,tiptoe_01_Xie.csv
1923,3.125806,3.093548,0.235484,2.648387,3.164516,2.787097,14714.44,12287.18,63.01053,3332.772,19152.84,4455.849,tiptoe,tiptoe_01_Xie.csv
1940,3.141935,3.090322,0.225806,2.603226,3.148387,2.764516,16299.58,12085.54,60.23085,3063.611,17028.07,4233.374,tiptoe,tiptoe_01_Xie.csv
1957,3.180645,3.096774,0.235484,2.616129,3.122581,2.76129,21851.91,12495.24,63.01053,3136.886,14431.99,4203.114,tiptoe,tiptoe_01_Xie.csv
1974,3.154839,3.116129,0.235484,2.664516,3.187097,2.764516,17821.32,13896.84,63.01053,3438.172,23147.45,4233.374,tiptoe,tiptoe_01_Xie.csv
1992,3.13871,3.064516,0.235484,2.596774,3.125806,2.8,15957.19,10671.23,63.01053,3027.981,14714.44,4592.0,tiptoe,tiptoe_01_Xie.csv
2009,3.13871,3.070968,0.232258,2.619355,3.180645,2.735484,15957.19,10994.93,62.08202,3155.639,21851.91,3973.486,tiptoe,tiptoe_01_Xie.csv
2026,3.122581,3.077419,0.235484,2.606452,3.141935,2.73871,14431.99,11337.39,63.01053,3081.674,16299.58,4001.035,tiptoe,tiptoe_01_Xie.csv
2043,3.177419,3.096774,0.235484,2.648387,3.13871,2.793548,21255.28,12495.24,63.01053,3332.772,15957.19,4523.057,tiptoe,tiptoe_01_Xie.csv
2061,3.145161,3.083871,0.235484,2.6,3.16129,2.764516,16656.24,11700.3,63.01053,3045.714,18688.36,4233.374,tiptoe,tiptoe_01_Xie.csv
2078,3.125806,3.074193,0.232258,2.587097,3.112903,2.777419,14714.44,11163.71,62.08202,2975.746,13643.1,4358.148,tiptoe,tiptoe_01_Xie.csv
2095,3.145161,3.096774,0.23871,2.580645,3.177419,2.754839,16656.24,12495.24,63.94099,2941.704,21255.28,4143.669,tiptoe,tiptoe_01_Xie.csv
2112,3.154839,3.103226,0.23871,2.590322,3.132258,2.796774,17821.32,12931.8,63.94099,2993.0,15311.92,4557.308,tiptoe,tiptoe_01_Xie.csv
2130,3.180645,3.087097,0.235484,2.570968,3.167742,2.745161,21851.91,11890.0,63.01053,2891.77,19639.98,4057.093,tiptoe,tiptoe_01_Xie.csv
2147,3.129032,3.112903,0.23871,2.580645,3.129032,2.741935,15007.54,13643.1,63.94099,2941.704,15007.54,4028.902,tiptoe,tiptoe_01_Xie.csv
2164,3.145161,3.090322,0.235484,2.574193,3.112903,2.754839,16656.24,12085.54,63.01053,2908.266,13643.1,4143.669,tiptoe,tiptoe_01_Xie.csv
2181,3.141935,3.112903,0.232258,2.554839,3.119355,2.76129,16299.58,13643.1,62.08202,2811.428,14159.64,4203.114,tiptoe,tiptoe_01_Xie.csv
2199,3.151613,3.109677,0.241935,2.596774,3.177419,2.774194,17416.07,13397.96,64.87341,3027.981,21255.28,4326.381,tiptoe,tiptoe_01_Xie.csv
2216,3.170968,3.093548,0.23871,2.6,3.177419,2.803226,20151.48,12287.18,63.94099,3045.714,21255.28,4627.143,tiptoe,tiptoe_01_Xie.csv
2233,3.170968,3.096774,0.235484,2.596774,3.122581,2.751613,20151.48,12495.24,63.01053,3027.981,14431.99,4114.471,tiptoe,tiptoe_01_Xie.csv
2250,3.122581,3.087097,0.235484,2.609677,3.116129,2.741935,14431.99,11890.0,63.01053,3099.906,13896.84,4028.902,tiptoe,tiptoe_01_Xie.csv
2267,3.119355,3.13871,0.232258,2.596774,3.158064,2.803226,14159.64,15957.19,62.08202,3027.981,18244.99,4627.143,tiptoe,tiptoe_01_Xie.csv
2285,3.132258,3.077419,0.235484,2.580645,3.145161,2.741935,15311.92,11337.39,63.01053,2941.704,16656.24,4028.902,tiptoe,tiptoe_01_Xie.csv
2302,3.129032,3.109677,0.229032,2.56129,3.141935,2.754839,15007.54,13397.96,61.15546,2843.144,16299.58,4143.669,tiptoe,tiptoe_01_Xie.csv
2319,3.112903,3.074193,0.232258,2.587097,3.148387,2.76129,13643.1,11163.71,62.08202,2975.746,17028.07,4203.114,tiptoe,tiptoe_01_Xie.csv
2336,3.122581,3.096774,0.23871,2.525806,3.119355,2.780645,14431.99,12495.24,63.94099,2675.25,14159.64,4390.311,tiptoe,tiptoe_01_Xie.csv
2353,3.164516,3.119355,0.232258,2.522581,3.167742,2.764516,19152.84,14159.64,62.08202,2660.747,19639.98,4233.374,tiptoe,tiptoe_01_Xie.csv
2371,3.151613,3.109677,0.23871,2.541935,3.177419,2.770968,17416.07,13397.96,63.94099,2749.617,21255.28,4295.0,tiptoe,tiptoe_01_Xie.csv
2388,3.122581,3.122581,0.235484,2.525806,3.145161,2.780645,14431.99,14431.99,63.01053,2675.25,16656.24,4390.311,tiptoe,tiptoe_01_Xie.csv
2405,3.170968,3.087097,0.235484,2.519355,3.129032,2.767742,20151.48,11890.0,63.01053,2646.364,15007.54,4264.0,tiptoe,tiptoe_01_Xie.csv
2422,3.151613,3.083871,0.235484,2.522581,3.183871,2.745161,17416.07,11700.3,63.01053,2660.747,22481.69,4057.093,tiptoe,tiptoe_01_Xie.csv
2440,3.16129,3.096774,0.23871,2.554839,3.132258,2.780645,18688.36,12495.24,63.94099,2811.428,15311.92,4390.311,tiptoe,tiptoe_01_Xie.csv
2457,3.16129,3.080645,0.23871,2.525806,3.132258,2.758065,18688.36,11516.17,63.94099,2675.25,15311.92,4173.214,tiptoe,tiptoe_01_Xie.csv
2474,3.158064,3.112903,0.235484,2.574193,3.167742,2.787097,18244.99,13643.1,63.01053,2908.266,19639.98,4455.849,tiptoe,tiptoe_01_Xie.csv
2491,3.145161,3.1,0.229032,2.558064,3.164516,2.809677,16656.24,12710.0,61.15546,2827.217,19152.84,4698.815,tiptoe,tiptoe_01_Xie.csv
2508,3.119355,3.096774,0.235484,2.551613,3.132258,2.741935,14159.64,12495.24,63.01053,2795.776,15311.92,4028.902,tiptoe,tiptoe_01_Xie.csv
2526,3.129032,3.067742,0.235484,2.512903,3.187097,2.8,15007.54,10830.83,63.01053,2617.951,23147.45,4592.0,tiptoe,tiptoe_01_Xie.csv
2543,3.125806,2.993548,0.232258,2.522581,3.151613,2.777419,14714.44,8010.107,62.08202,2660.747,17416.07,4358.148,tiptoe,tiptoe_01_Xie.csv
2560,3.193548,3.048387,0.229032,2.53871,3.183871,2.793548,24600.02,9934.615,61.15546,2734.491,22481.69,4523.057,tiptoe,tiptoe_01_Xie.csv
2578,3.125806,2.970968,0.232258,2.554839,3.154839,2.754839,14714.44,7404.12,62.08202,2811.428,17821.32,4143.669,tiptoe,tiptoe_01_Xie.csv
2595,3.119355,2.980645,0.229032,2.512903,3.135484,2.796774,14159.64,7653.334,61.15546,2617.951,15628.23,4557.308,tiptoe,tiptoe_01_Xie.csv
2612,3.119355,2.958065,0.229032,2.5,3.132258,2.774194,14159.64,7093.775,61.15546,2562.5,15311.92,4326.381,tiptoe,tiptoe_01_Xie.csv
2629,3.132258,2.964516,0.229032,2.516129,3.132258,2.774194,15311.92,7245.964,61.15546,2632.099,15311.92,4326.381,tiptoe,tiptoe_01_Xie.csv
2646,3.164516,2.974194,0.229032,2.506452,3.119355,2.748387,19152.84,7485.546,61.15546,2590.0,14159.64,4085.615,tiptoe,tiptoe_01_Xie.csv
2664,3.16129,2.977419,0.232258,2.522581,3.183871,2.73871,18688.36,7568.602,62.08202,2660.747,22481.69,4001.035,tiptoe,tiptoe_01_Xie.csv
2682,3.13871,2.964516,0.229032,2.558064,3.122581,2.76129,15957.19,7245.964,61.15546,2827.217,14431.99,4203.114,tiptoe,tiptoe_01_Xie.csv
2699,3.116129,3.025806,0.229032,2.564516,3.125806,2.780645,13896.84,9048.941,61.15546,2859.21,14714.44,4390.311,tiptoe,tiptoe_01_Xie.csv
2716,3.125806,3.003226,0.23871,2.519355,3.116129,2.758065,14714.44,8298.045,63.94099,2646.364,13896.84,4173.214,tiptoe,tiptoe_01_Xie.csv
2734,3.135484,2.954839,0.287097,2.532258,3.132258,2.787097,15628.23,7019.815,78.13705,2704.622,15311.92,4455.849,tiptoe,tiptoe_01_Xie.csv
2751,3.135484,2.970968,0.290323,2.525806,3.135484,2.8,15628.23,7404.12,79.09967,2675.25,15628.23,4592.0,tiptoe,tiptoe_01_Xie.csv
2769,3.116129,2.964516,0.23871,2.548387,3.170968,2.745161,13896.84,7245.964,63.94099,2780.258,20151.48,4057.093,tiptoe,tiptoe_01_Xie.csv
2786,3.122581,3.003226,0.232258,2.53871,3.125806,2.774194,14431.99,8298.045,62.08202,2734.491,14714.44,4326.381,tiptoe,tiptoe_01_Xie.csv
2804,3.2,2.996774,0.241935,2.522581,3.16129,2.754839,26240.03,8104.044,64.87341,2660.747,18688.36,4143.669,tiptoe,tiptoe_01_Xie.csv
2821,3.116129,2.980645,0.280645,2.529032,3.116129,2.758065,13896.84,7653.334,76.21795,2689.875,13896.84,4173.214,tiptoe,tiptoe_01_Xie.csv
